"Åarjelsaemien gïele"	"Nöörjen gïele"	"Svöörjen gïele"	"Synonyjme"	"Åarjelsaemien jiehtegh"	"Daaroen jiehtegh"	"Baakoe-tjïerte"	"Baakoen syjjehtimmie"	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"	"Baakoen gaaltije"	"Status"
"skïhpe-valkese"	"skipsfart"	"skeppsfart"		"Skïhpe-valkese lea vihkeles."	"Skipsfarten er viktig."	"sammensatt substantiv av skïhpe + valkese"	"skïhpe-valkese, skïhpe-valkesasse"	"Skïhph mejnie vaaroeh giesehtidh."	"Skip med hvilke man transporterer varer."	"Elgå ref.gruppe"	"Godkjent"
"åesies-latjkoe"	"handelsavtale"	"handelsavtal"		"Dïhte fryöjsti åesies-latjkoem åadtjodh."	"Han forsøkte å få en handelsavtale."	"sammensatt substantiv av åesies + latjkoe"	"åesies-latjkoe, åesies-latjkose"	"latjkoe åestemen jïh doekemen bïjre"	"avtale om kjøpe og salg"	"Elgå ref.gruppe"	"Godkjent"
"kolonije"	"koloni"	"koloni"		"Spanije dejtie orre dajvide kolonijine gyrreldi. "	"Spania la de nye områdene under seg som kolonier."	"substantiv"	"kolonije, kolonijese"	"laante mij jeatjah laanten nuelesne"	"land som er under et annet land"	"Elgå ref.gruppe"	"Godkjent"
"åesies-geajnoe"	"handelsrute/handelsveg"	"handelsrutt, handelsväg"	"åesies-geajna"	"Tjeehpes-sovhte almetjidie dåeriedi åesies-geajnoej mietie."	"Svartedauen fulgte menneskene langs handelsveiene."	"sammensatt substantiv av åesies + geajnoe"	"åesies-geajnoe, åesies-geajnose"	"geajnoe man mietie åesies-vaaroeh giesehte"	"vei hvor man frakter handelsvarer"	"Elgå ref.gruppe"	"Godkjent"
"åesies-sijjie"	"handelsstasjon"	"handelsstation"				"sammensatt substantiv av åesies + sijjie"	"åesies-sijjie, åesies-sæjjan"	"akte sijjie gusnie åesiestimmine gïehtele"	"en plass hvor man bedriver handel"	"Elgå ref.gruppe"	"Godkjent"
"åesies-staare"	"handelsby"	"handelsstad"				"sammensatt substantiv av åesies + staare"	"åesies-staare, åesies-staarese"	"akte staare gusnie åesiestimmine gïehteli"	"en by hvor man drev på med handel"	"Elgå ref.gruppe"	"Godkjent"
"dïeneste"	"overskudd, gevinst"	"överskott, vinst"		"Fåvtah vielie skaehtieh tsihkestehtin enn gånka moeneme jïh dïenestem jïjtjemse låammese rijteme."	"Fogdene krevde inn mer skatter enn det kongen hadde bestemt og de tok overskuddet i egen lomme."	"substantiv"	"dïeneste, dïenestasse"	"dïhte mij aajmene gåessie åesies-galhkuvem dorjeme"	"det som er til overs ved regnskapsavslutning"	"Elgå ref.gruppe"	"Godkjent"
"veartenen maarhna"	"verdensmarked, marknad"	"marknad (världsmarknad)"		"Kina vaarah dorje  veartenen maarhnese."	"Kina produserer varer for hele verden. (verdensmarkedet)"	"uttrykk"	"veartenen maarhna, veartenen maarhnese"	"maarhna mij barka veartenen bïjre jarkan"	"marked som spenner over hele verlden"	"Elgå ref.gruppe"	"Godkjent"
"industrije"	"industri "	"industri "		"Giefies laanth orre maarhnah dygkeindustrijese sjïdtieh."	"Fattige land blir nye markeder for tobakindustrien ."	"substantiv  "	"industrije, industrijese"	"akte sïelte mij dorjemassine gïehtele"	"en bedrift som holder på med produksjon"	"Elgå ref.gruppe"	"Godkjent"
"åesies-"	"handel-, handels-"	" handel-, handels- "				"forledd"				"Elgå ref.gruppe"	"Godkjent"
"åesie"	"andel, andels-; kvote"	"andel, andels-; kvot"		"Manne mov åesieh doekem."	"Jeg selger mine andeler/min kvote."	"substantiv"	"åesie, åasan"	"åesiem sïeltesne utnedh "	"ha en andel i en bedrift."	"Elgå ref.gruppe"	"Godkjent"
"doekemes-vaaroe"	"salgsvare "	"försäljningsartikel"		"Dovne gaajhkh leah doekemes.  Gaajhke dovne lea doekemes-vaaroeh."	"Alt er salgsvarer, til salgs"	"sammensatt substantiv av doekemes + vaaroe"	"doekemes-vaaroe, doekemes-vaarose"			"Elgå ref.gruppe"	"Godkjent"
"åesies-dïeneste"	"handelsoverskudd"	"handelsöverskott"		"Daan jaepien reeknemasse åesies-dïenestem vuesehte."	"Årets regnskap viser et overskudd."	"sammensatt substantiv av åesies + dïeneste"	"åesies-dïeneste, åesies-dïenestasse"	"beetsuve åesiestimmien mænngan"	"det som er igjen etter salget, fortjenesten"	"Elgå ref.gruppe"	"Godkjent"
"åesies-våaroemistie"	"handelsbasert"	"handelsbaserad"		"Baalhkah leah åesiestimmien våaroemistie."	"Inntektene er handelsbaserte."	"uttrykk"				"Elgå ref.gruppe"	"Godkjent"
"/-våaroemistie"	"/-basert"	"/-baserad"				"etterledd"				"Elgå ref.gruppe"	"Godkjent"
"åesiestæjja"	"grossist"	"grossist"		"Guelie-åesiestæjjah åestieh gaajhke dovne guelieh mejtie maehtieh."	"Fiskerigrossistene kjøper all fisk som de kan."	"substantiv"				"Elgå ref.gruppe"	"Godkjent"
"åesies-klahke"	"handelsbetjent; ekspeditør"	"affärsbiträde; handelsanställd, expedit"		"Idtjim maehtieh naan åesies-klahkem gaavnedidh."	"Jeg kunne ikke finne noen ekspeditør."	"sammensatt substantiv av åesies + klahke"	"åesies-klahke, åesies-klahkese"	"akte mij åesies-gåetesne viehkehte"	"en som hjelper til i varehuset"	"Elgå ref.gruppe"	"Godkjent"
"åesies-gåetie"	"varehus; handelshus"	"varuhus, handelshus"		"Ostindijen kompanije akte stoerre åesies-gåetie Göteborgesne."	"Ostindiske kompaniet er et stort handelshus i Göteborg."	"substantiv  - begrenset betydning"	"åesies-gåetie, åesies-gåatan"	"stoerre bovre gusnie aktetjem maahta åestedh"	"stor butikk hvor man kan få kjøpt alt mulig"	"Elgå ref.gruppe"	"Godkjent"
"åesies-sjïerereakta"	"handelsprivilegium"	"handelsprivilegium"		"Statoile lea åesies-sjïerereaktam Gahnine åådtjeme."	"Statoil har fått handelsprivilegium med Gahna."	"sammensatt substantiv av åesies + sjïere + reakta"	"åesies-sjïerereakta, åesies-sjïerereaktese"	"reaktam oktegh åesiestidh"	"få eksklusiv rett til handel"	"Elgå ref.gruppe"	"Godkjent"
"sjïere-reakta"	"privilegium"	"privilegium"				"substantiv"	"sjïere-reakta, sjïere-reaktese"			"Elgå ref.gruppe"	"Godkjent"
"åesies-fealadæjja"	"handelsreisende"	"handelsresande"		"Åesies-fealadæjja bööti gellie-laaketje vaarajgujmie."	"Den handelsreisende kom med ett stort utbud av varer."	"sammensatt substantiv av åesies + fealadæjja"	"åesies-fealadæjja, åesies-fealadæjjese"	"almetje mij åesiestimmiem vaaroejgujmie faalede"	"En person som tilbyr varer for salg"	"Elgå ref.gruppe"	"Godkjent"
"åesies-kåarje"	"handelskurv"	"handelskorg"		"Åesies-kåarjesne lij voeje, laejpie jïh mielhkie."	"I handelskurven lå det smør, brød og melk."	"sammensatt substantiv av åesies + kåarje"	"åesies-kåarje, åesies-kåarjese"	"kåarje man sïjse vaaroeh bïejedh bovresne"	"en kurv hvor man legger i varer i butikken"	"Elgå ref.gruppe"	"Godkjent"
"åesies-serteme"	"forretningstransaktion"	"affärstransaktion"		"Nöörjen ålkoerijhken-åesiestimmine leah jïjnje åesies-sertemh."	"Norges utenrikshandel har mange forretningstransaksjoner."	"sammensatt substantiv av åesies + serteme"	"åesies-serteme, åesies-sertemasse"	"beetneh-serteme åesiestimmien gaavhtan"	"pengeoverføring i forbindelse med handel"	"Elgå ref.gruppe"	"Godkjent"
"beetneh-serteme"	"transaksjon, overføring"	"transaktion, överföring"		"Beetne-serteme daan biejjien bööti."	"Overføringen av penger er kommet i dag."	"substantiv av sertedh"	"serteme, sertemasse"	"maam akth sertedh"	"gjøre en transaksjon"	"Elgå ref.gruppe"	"Godkjent"
"ålkoerijhken åesiestimmie"	"utenrikshandel"	"utrikeshandel"		"Nöörjen åesiestimmie ålkoerijhkine hearven baalhkah vadta."	"Norges utenrikshandel gir gode inntekter."	"uttrykk"	"ålkoerijhken åesiestimmie, ålkoerijhken åesiestæmman"	"åesiestimmie ålkoerijhkine"	"handel med utlandet"	"Elgå ref.gruppe"	"Godkjent"
"åesies-nïere"	"handelsagent"	"handelsagent"		"Åesies-nïere lij håalijes."	"Handelsagenten var talefør."	"sammensatt substantiv av åesies +  nïere"	"åesies-nïere, åesies-nïerese"	"åesiestimmien gaske-lïhtse"	"person som er mellomleddet i en handel"	"Elgå ref.gruppe"	"Godkjent"
"åesies-mïrrestalleme"	"handelsbalanse"	"handelsbalans"		"Nöörje vuesehte læjkam åesies-mïrrestallemisnie."	"Norge oppviser overskudd i handelsbalansen."	"sammensatt substantiv av åesies + substantiv av mïrrestalledh"	"åesies-mïrrestalleme, åesies-mïrrestallemasse"	"gåessie åesteme jïh doekeme leah seamma stoerre"	"når kjøp og salg har like stor verdi"	"Elgå ref.gruppe"	"Godkjent"
"åesies-saevege"	"handelsflagg"	"handelsflagga"		"Fïerhten åesies-skïhpe åesies-saevegem åtna."	"Hvert eneste handelsfartøy har handelsflagg."	"sammensatt substantiv av åesies + saevege"	"åesies-saevege, åesies-saevegasse"	"åesies-skïhpen saevege"	"flagget til et handelsfartøy"	"Elgå ref.gruppe"	"Godkjent"
"åesies-ministere"	"handelsminister"	"handelsminister"		"Åesies-ministere lea Tysklaantesne Nöörjen gaavhtan."		"sammensatt substantiv av åesies + ministere"	"åesies-ministere, åesies-ministerasse"	"ministere mij åesies-departementesne barka"	"en minister som arbeider i handelsdepartementet"	"Elgå ref.gruppe"	"Godkjent"
"åesies-politihke"	"handelspolitikk"	"handelspolitik"		"Åesies-politihke lea vihkeles industrijese."	"Handelspolitikken er viktig for industrien."	"sammensatt substantiv av åesies + politihke"	"åesies-politihke, åesies-politihkese"	"politihke mij sjïehteladta åesiestæmman"	"politikk som legger til rette for handel"	"Elgå ref.gruppe"	"Godkjent"
"reeknege"	"faktura"	"faktura"		"Dïhte miste reeknegem seedti."	"Han sendte feil regning."	"substantiv"	"reeknege, reeknegasse"			"Elgå ref.gruppe"	"Godkjent"
"reeknegh tjaeledh / reeknegem tjaeledh"	"fakturere"	"fakturera, skriva räkningar"		"Reeknege-goevtese reeknegh tjaala abpe biejjiem."	"Fakturaavdelningen skriver fakturer hele dagen."	"uttrykk"				"Elgå ref.gruppe"	"Godkjent"
"reeknege-tjaeleme"	"fakturering"	"fakturering"	"reekneh-tjaeleme"	"Reeknege tjaeleme lea vihkeles åesiestimmese."	"Fakturering er viktig for omsetningen."	"uttrykk"				"Elgå ref.gruppe"	"Godkjent"
"åesies-reakta"	"handelsrettighet; handelsrett"	"handelsrättighet; handelsrätt"		"Mijjieh libie åesies-reaktam Kinene nöödteme."	"Vi har oppnådd handelsrett med Kina."	"sammensatt substantiv av åesies + reakta"	"åesies-reakta, åesies-reaktese"	"reaktam åesiestæmman"	"rett til handel"	"Elgå ref.gruppe"	"Godkjent"
"åesies-teknihke"	"handelsteknikk"	"handelsteknik"		"Ij badth naan aelhkie åesies-teknihkine."	"Det er ikke så enkelt med handelsteknikk."	"sammensatt substantiv av åesies + teknihke"	"åesies-teknihke, åesies-teknihkese"	"teknihke åesien gaavhtan"	"teknikk avsett for handel"	"Elgå ref.gruppe"	"Godkjent"
"åesies-ööhpehtimmie"	"handelsutdanning"	"handelsutbildning"		"Bergenisnie maahta hijven åesies-ööhpehtimmiem åadtjodh."	"I Bergen kan en få god handelsutdanning."	"sammensatt substantiv av åesies + ööhpehtimmie"	"åesies-ööhpehtimmie, åesies-ööhpehtæmman "	"ööhpehtimmie maam åesies-jolleskuvlesne åådtje"	"utdanning man får på handelshøyskole"	"Elgå ref.gruppe"	"Godkjent"
"aamhtese"	"sak"	"ärende"		"Åesies-stavra aamhtesem gïehtjede."	"Handelsforvalteren vurderer saken."	"substantiv"	"aamhtese, aamhtesasse"			"Elgå ref.gruppe"	"Godkjent"
"vierhtie-paehpere"	"aksje, verdipapir"	"värdepapper; aktier"		"Vierhtieh-paehperh leam baanghkese bïejeme."	"Jeg har lagt aksjer i banken."	"sammensatt substantiv av vierhtie + paehpere"	"vierhtie-paehpere, vierhtie-paehperasse"			"Elgå ref.gruppe"	"Godkjent"
"aehpie"	"krise"	"kris "		"Aehpie sjædta gosse beetnegh nåhkeme."	"Det blir krise når pengene er slutt."	"substantiv"	"aehpie, aahpan"	"mij akt båajhtode deahpadamme"	"noe galt har skjedd"	"Elgå ref.gruppe"	"Godkjent"
"giehpies åasa"	"billigsalg"	"realisation"	"geehpes åasa"	"Manne galkem giehpies-åesese Hamarisnie mïnnedh."	"Jeg skal reise på billigsalg til Hamar."	"substantiv"				"Elgå ref.gruppe"	"Godkjent"
"åesies-læstoe"	"handelsregister"	"handelsregister"		"Åesies-læstosne gaajhke dovne darjemes-sïelth."	"I handelsregistret står alle bedrifter."	"sammensatt substantiv av åesies + læstoe"	"åesies-læstoe, åesies-læstose"			"Elgå ref.gruppe"	"Godkjent"
"veartenen åesiestimmie"	"verdenshandel"	"världshandel"		"Veartenen åesiestimmie lea jieniemdamme dej minngemes jaepiej."	"Verdenshandelen har økt i siste år."	"uttrykk"				"Elgå ref.gruppe"	"Godkjent"
"kreedite"	"kreditt (bokføring)"	"kredit (bokföring"		"Kreedite åelkies bielesne."	"Kreditt er på høyre side."	"substantiv"	"kreedite, kreeditasse"			"Elgå ref.gruppe"	"Godkjent"
"deebete"	"debet (bokføring)"	"debet (bokføring)"		"Deebete garrah bielesne."	"Debet er på venstre side."	"substantiv"	"deebete, deebetasse"			"Elgå ref.gruppe"	"Godkjent"
"faetie"	"underskudd, tap"	"underskott, förlust"				"substantiv"	"faetie, faatan"			"Elgå ref.gruppe"	"Godkjent"
"faetiemisnie"	"gå i underskudd"	"ha ett underskott"		"Guhkiem sïelte faetiemisnie."	"I lange perioder gikk selskapet med underskudd."	"uttrykk"				"Elgå ref.gruppe"	"Godkjent"
"åesies-politihke mietie"	"handelspolitisk"	"handelspolitisk"		"Åesies-politihken mietie dajpa."	"Handelspotitisk går det an."	"adjektiv"				"Elgå ref.gruppe"	"Godkjent"
"åesies-teknihke mietie"	"handelsteknisk"	"handelsteknisk"		"Åesies-teknihken mietie gåarede."	"Handelsteknisk går det an."	"adjektiv"				"Elgå ref.gruppe"	"Godkjent"
"beetnegh"	"kontanter"	"kontanter"		"Dïhte beetnegigujmie maeksieji mïnnemen åvteste."	"Hun betalte reisen kontant."	"substantiv"	"beetnegh, beetnegidie"			"Elgå ref.gruppe"	"Godkjent"
"åesies-daepie"	"handelspraksis, handelssed"	"handelssed, handelspraxis"		"Dah hijven åesies-daepiem utnieh."	"De har en god handelspraksis."	"sammensatt substantiv av åesies + daepie"	"åesies-daepie, åesies-daapan"			"Elgå ref.gruppe"	"Godkjent"
"maekseme-leahpa"	"bankkort; betalingskort"	"bankkort; betalkort"	"maekseme-kåarte"			"sammensatt substantiv av maekseme av maeksedh + leahpa"	"maekseme-leahpa, maekseme-leahpese"	"Akte leahpa mejnie maaksa."	"Et kort man betaler med."	"Elgå ref.gruppe"	"Godkjent"
"ekonomije"	"økonomi"	"ekonomi "				"substantiv"	"ekonomije, ekonomijese"				"Godkjent"
"ekonomijen sjïdtedimmie"	"økonomisk vekst"	"ekonomisk tillväxt"	"Ekonomije sjïdtedamme, ekonomije nænnoestamme, ekonomijen jeananimmie, ekonomijen læssanimmie. "			"uttrykk"		"ekonomije sjïdtede"	"økonomien øker i størrelse."	"Elgå ref.gruppe"	"Godkjent"
"beetneh-serteme"	"pengeoverføring"	"pengaöverföring"				"sammensatt substantiv av beetneh + serteme"	"beetneh-serteme, beetneh-sertemasse"	"beetnegh sertedh Internedtesne"	"overføre penger på Internet"	"Elgå ref.gruppe"	"Godkjent"
"åesies-skïhpe"	"handelsfartøy"	"handelsfartyg"				"sammensatt substantiv av åesies + skïhpe"	"åesies-skïhpe, åesies-skïhpese"	"skïhpe mejnie åesies-vaaroeh giesehte"	"skip som en transporterer handelsvarer med"	"Elgå ref.gruppe"	"Godkjent"
"åesies-instituhte"	"handelsinstitutt"	"instituhte"				"sammensatt substantiv av åesies + instituhte"	"åesies-instituhte, åesies-instituhtese"	"akte fakulteete universiteetesne "	"et fakultet på et universitet"	"Elgå ref.gruppe"	"Godkjent"
"fakulteete"	"fakultet"	"fakultet"				"substantiv"	"fakulteete, fakulteetese"			"Elgå ref.gruppe"	"Godkjent"
"åesies-prievieh"	"handelskorrespondanse"	"handelskorrespondens"				"end plural sammensatt substantiv av åesies + prievieh"	"åesies-prievieh, åesies-prievide"	"prievieh åesiestimmeste"	"brev vedrørende handel"	"Elgå ref.gruppe"	"Godkjent"
"åesies-staare"	"handelsby"	"handelsstad"				"sammensatt substantiv av åesies + staare"	"åesies-staare, åesies-staarese"	"staare gusnie jïjnjh bovrh"	"en by hvor det finnes mange butikker"	"Elgå ref.gruppe"	"Godkjent"
"beetneh-lööneme"	"kontantlån"	"kontantlån"				"sammensatt substantiv av beetneh + lööneme"	"beetneh-lööneme, beetneh-löönemasse"	"lööneme beetnegijstie"	"lån av penger"	"Elgå ref.gruppe"	"Godkjent"
"nååhtedidh"	"bestille tid"	"boka möte, beställa tid"				"verb"	"nååhtedidh, nååhtede, nååhtedi, nååhteme"			"Elgå ref.gruppe"	"Godkjent"
"meajkedh"	"rabattere"	"ge rabatt"				"verb"	"meajkedh, meajkoe, meajkaji, meajkeme"			"Elgå ref.gruppe"	"Godkjent"
