"Åarjelsaemien gïele"	"Nöörjen gïele"	"Svöörjen gïele"	"Synonyjme"	"Åarjelsaemien jiehtegh"	"Daaroen jiehtegh"	"Baakoe-tjïerte"	"Baakoen syjjehtimmie"	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"	"Baakoen gaaltije"	"Status"
"tjihtese-tjaelije"	"dikter"	"diktare"	"dikte-tjaelije"	"Homere lij tjihtese-tjaelije jïh Iliaadem tjeeli."	"Homer var dikter og skrev Illiaden."	"substantiv"	"tjihtese-tjaelije, tjihtese-tjaelijasse"	"barkoe"	"yrke"	"Elgå ref. gruppe"	"Godkjent"
"baakoe-gaske"	"mellomrom mellom ord"	"mellanslag"		"Homere lij tjihtese-tjaelije jïh Iliaadem tjeeli."	"Homer var dikter og skrev Illiaden."	"sammensatt substantiv av baakoe + gaske"	"baakoe-gaske, baakoe-gaskese"			"Elgå ref. gruppe"	"Godkjent"
"histovrijen aejkie"	"historisk tid"	"historisk tid"	"histovrijen aaltere, histovrijen tïjje"	"Dellie histovrijen aejkie aalka."	"Da begynner historisk tid."	"uttrykk"				"Elgå ref. gruppe"	"Godkjent"
"staare-staate"	"bystat"	"stadsstat"		"Hellasisnie lij gellie staare-staath."	"I Hellas fantes det mange bystater."	"sammensatt substantiv av staare + staate"	"staare-staate, staare-staatese"			"Elgå ref. gruppe"	"Godkjent"
"Almetje-krirrie"	"Folkeforsamlingen"	"Folkförsamlingen"		"Gellie tåvsenh gaavnedin gosse tjåanghkoe Almetje-krirresne."	"Flere tusen møtte opp når det var møter i Folkeforsamlingen."	"sammensatt substantiv av Almetje + krirrie"	"Almetje-krirrie, Almetje-krærran"			"Elgå ref. gruppe"	"Godkjent"
"gaavnedidh"	"møte opp"	"möta upp"		"Gellie tåvsenh gaavnedin gosse tjåanghkoe Almetje-krirresne."	"Flere tusen møtte opp når det var møter i Folkeforsamlingen."	"verb"	"gaavnedidh, gaavnede, gaavnedi, gaavnedamme"			"Elgå ref. gruppe"	"Godkjent"
"slaave"	"slave "	"slav "		"Slaavh idtjin naan veeljeme-reaktam utnieh."	"Slavene hadde ingen stemmerett."	"substantiv"	"slaave, slaavese"	"Almetje maam akte jeatjah almetje eekie."	"Menneske som eies av ett annet menneske."	"Elgå ref. gruppe"	"Godkjent"
"atheneere"	"athener"	"athenare"		"Dah atheenerh musihkem jïh kåanstem lyjhkin."	"Athenerne likte musikk og kunst."	"substantiv"	"atheenere, atheenerasse"	"almetje Atheeneste"	"menneske fra Athen"	"Elgå ref. gruppe"	"Godkjent"
"ov-vietseles"	"upopulær"	"opopulär"		"Bene jis naaken ov-vietseles sjïdteme dellie ij naan aarmoe."	"Men hvis noen ble upopulær var det ingen nåde."	"neg. adjektiv av vietseles"	"ov-vietseles"			"Elgå ref. gruppe"	"Godkjent"
"militæren haarjanimmie"	"militerøvelse"	"militärövning"	"militæren heerjehtimmie"	"Spartesne gaarmanæjjah jïjnjem tïjjem militæren haarjanæmman provhkin."	"I Sparta brukte mennene mye av tida til militærøvelser."	"sammensatt substantiv av militære + haarjanimmie"	"militæren haarjanimmie, militæren haarjanæmman"			"Elgå ref. gruppe"	"Godkjent"
"marmore"	"marmor"	"marmor"		"Dah tjaebpies teempelh marmoristie  tseegkin."	"De bygde flotte templer av marmor."	"substantiv"	"marmore, marmorasse"	"gierkie"	"stein"	"Elgå ref. gruppe"	"Godkjent"
"agora"	"agora"	"agora"		"Dennie stoerre tåarjesne, agora, meehtin gaajhke-såarhts vaarah åestedh."	"På det store torget, agora, kunne man få kjøpt alle slags varer."	"substantiv"	"agora, agorese"	"tåarje Hellasisnie"	"torg i Hellas"	"Elgå ref. gruppe"	"Godkjent"
"parfyjme"	"parfyme"	"parfym"		"Daesnie lij parfyjme jïh vaash."	"Her var det parfyme og vaser."	"substantiv"	"parfyjme, parfyjmese"	"mij akt galkije mij njaelkies-laakan hopsoe"	"noe flytende som dufter godt"	"Elgå ref. gruppe"	"Godkjent"
"vaase"	"vase"	"vas"		"Daesnie lij parfyjme jïh vaash."	"Her var det parfyme og vaser."	"substantiv"	"vaase, vaasese"	"kravhka mesnie maahta blommah utnedh"	"krukke hvor man kan ha blomster"	"Elgå ref. gruppe"	"Godkjent"
"maehtedh åestedh"	"kunne få kjøpt, kunne kjøpe"	"kunde man få köpa, få tillgång att köpa"		"Dennie stoerre tåarjesne, agora, meehtin gaajhke-såarhts vaarah åestedh."	"På det store torget, agora, kunne man få kjøpt alle slags varer."		"uttrykk"	"maehtedh åestedh, maahta åestedh, maehtieji / meehti åestedh, maahteme åestedh                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "		"Elgå ref. gruppe"	"Bedøms ikke som uttrykk"
"diskose-hajkedimmie"	"diskoskast"	"diskuskast"		"Vïjhte-gæmhposne lij saejhtie-hajkedimmie, guhkies-njulhtjeme, hajkeme, diskose-hajkedimmie jïh gylpestalleme."	"Femkamp besto av spydkast, lengdehopp, løp, diskoskast og bryting."	"sammensatt substantiv av diskose + hajkedimmie"	"diskose-hajkedimmie, diskose-hajkedæmman"	"gaarsjelimmie-suerkie"	"idrettsgren"	"Elgå ref. gruppe"	"Godkjent"
"tjarmedalleme"	"boksing"	"boxning"		"Jeatjah suerkie lij tjarmedalleme."	"En annen øvelse var boksing."	"substantiv av tjarmedalledh"	"tjarmedalleme, tjarmedallemasse"	"gaarsjelimmie-suerkie"	"idrettsgren"	"Elgå ref. gruppe"	"Godkjent"
"gladiatovre"	"gladiator"	"gladiator"		"Fïerhten njealjeden jaepien atleeth abpe Hellasistie gaavnedin. "	"Hvert fjerde år møttes atleter fra hele Hellas."	"substantiv"	"gladiatovre, gladiatovrese"	"almetje mij gaarmegisnie (i god kondisjon)"	"en veltrent idrettsmann"	"Elgå ref. gruppe"	"Godkjent"
"atleete"	"atlet, idrettsmann"	"atlet, idrottsman"		"Fïerhten njealjeden jaepien atleeth abpe Hellasistie gaavnedin. "	"Hvert fjerde år møttes atleter fra hele Hellas."	"substantiv"	"atleete, atleetese"	"almetje mij gaarmegisnie"	"en veltrent idrettsmann"	"Elgå ref. gruppe"	"Godkjent"
"Olympijen spïelh; Olympiaade"	"Olympiske leker; Olympiade"	"Olympiska spel, Olympiad"		"Dïhte bööremes gaarsjelimmie-gaahtjeme lij Olympijen spïelh."	"Den gjeveste av alle idrettskonkurranser var de olympiske lekene."	"substantiv"	"Olympijen spïelh, Olympijen spïelide"	"gaarsjelimmiegaahtjeme"	"idrettskonkurranse"	"Elgå ref. gruppe"	"Godkjent"
"guhkies-njulhtjeme"	"lengdehopp"	"längdhopp"		"Vïjhtegæmhposne lij saejhtie-hajkedimmie, guhkies-njulhtjeme, hajkeme, diskose-hajkedimmie jïh gylpestalleme."	"Femkamp besto av spydkast, lengdehopp, løp, diskoskast og bryting."	"sammensatt substantiv av guhkies + njulhtjeme"	"guhkies-njulhtjeme, guhkies-njulhtjemasse"	"gaarsjelimmie-suerkie"	"idrettsgren"	"Elgå ref. gruppe"	"Godkjent"
"olijven-kraanse, kraanse olijven-moeren lastijste"	"olivenkrans"	"olivkrans"		"Voestes sjïele lij akte kraanse olijven-moeren lastijste."	"Førstepremien var en krans av blader fra oliventreet."	"sammensatt substantiv av olijven + kraanse"	"olijven-kraanse, olijven-kraansese"	"kraanse olijven-moeren lastijste"	"krans av oliventreets blad"	"Elgå ref. gruppe"	"Godkjent"
"olijven-moere"	"oliventre"	"olivträd"		"Voestes sjïele lij akte kraanse olijven-moeren lastijste."	"Førstepremien var en krans av blader fra oliventreet."	"sammensatt substantiv av olijven + moere"	"olijven-moere, olijven-moerese"	"moere"	"treslag"	"Elgå ref. gruppe"	"Godkjent"
"stadijovne"	"stadion"	"stadion"		"Dah mah meatan gaavnedin aktene orre stadijovnesne Athenesne."	"Deltakere møttes på et nytt stadion i Athen."	"substantiv"	"stadijovne, stadijovnese"	"gaarsjelimmie-bïgkeme"	"idrettsanlegg"	"Elgå ref. gruppe"	"Godkjent"
"olijven-ålja"	"olivenolje"	"olivolja"	"olijven-åålja"	"Greekerh  laejrie-lihtieh nåhtadin juktie oliven-åljam tjaavhkodh."	"Grekerne brukte leirkrukker til å oppbevare olivenolje."	"sammensatt substantiv av olijven + ålja"	"olijven-ålja, olijven-åljese"	"beapmoe"	"mat"	"Elgå ref. gruppe"	"Godkjent"
"lihtie-daajhtije"	"pottemaker"	"krukmakare"	"lihtie-darjoje"			"sammensatt substantiv av lihtie + daajhtije"	"lihtie-daajhtije, lihtie-daajhtijasse"	"barkoe"	"arbeid"	"Elgå ref. gruppe"	"Godkjent"
"bïenghke"	"sete"	"säte"		"Vuartasjæjjah bïenghki nelnie vilhtien bæjjese tjahkasjin."	"Tilskuerne satt på seter oppover i skråningen."	"substantiv"	"bïenghke, bïenghkese"	"mööbele"	"møbel"	"Elgå ref. gruppe"	"Godkjent"
"vielhtie"	"skråning"	"sluttning"		"Vuartasjæjjah bïenghki nelnie vilhtien bæjjese tjahkasjin."	"Tilskuerne satt på seter oppover i skråningen."	"substantiv"	"vilhtie, vælhtan"	"vilhtie gusnie bïenghkine maahta tjahkasjidh teaterisne, jv.."	"skråning hvor man kan sitte på seter for eksempel ved et teater"	"Elgå ref. gruppe"	"Godkjent"
"vuesiehtimmie"	"opptreden, forestilling, skuespill, teater"	"uppträdande, föreställning, skådespel, teater"		"Dah grekerh  vïjnejupmele Dionysosem  vuesiehtimmine earoehtin."	"Grekerne æret vinguden Dionysos med skuespill."	"substantiv av vuesiehtidh"	"vuesiehtimmie, vuesiehtæmman"			"Elgå ref. gruppe"	"Godkjent"
"Vïjne-jupmele"	"Vingud"	"Vingud"		"Dah grekerh  vïjnejupmele Dionysosem  vuesiehtimmine earoehtin."	"Grekerne æret vinguden Dionysos med skuespill."	"sammensatt substantiv av vïjne + jupmele"	"Vïjne-jupmele, Vïjne-jupmielasse"	"Hellasen jupmele"	"Gud i Hellas"	"Elgå ref. gruppe"	"Godkjent"
"dorjehtalledh"	"opptre i et skuespill"	"uppträda i ett skådespel"		"Dorjehtæjjah vuelielisnie dorjehtallin."	"Skuespillene opptrådte på plassen nedenfor."	"verb av dorjehtæjja"	"dorjehtalledh, dorjehtalla, dorjehtalli, dorjehtalleme"	"Teaterem jallh jeatjebem vuartasjæjjide vuesiehtidh"	"Å vise opp ett teaterstykke eller lignende til tilskuere."	"Elgå ref. gruppe"	"Godkjent"
"grekere"	"greker"	"grek "				"substantiv"	"grekere, grekerasse"	"almetje mij Hellasistie"	"menneske fra Hellas"	"Elgå ref.gruppe"	"Godkjent"
"militære-faamoe"	"militærmakten"	"militärmakten"		"Spartan lij stoerre militære-faamoe."	"Sparta hadde stor militærmakt."	"sammensatt substantiv av militære + faamoe"	"militære-faamoe, militære-faamose"	"Dïhte mij laantem vaarjele. "	"Den som beskytter et land"	"Elgå ref. gruppe"	"Godkjent"
"militære-staate"	"militærstat"	"militärstat"		"Sparta lij militære-staate."	"Sparta var en militærstat."	"sammensatt substantiv av militære + staate"	"militære-staate, militære-staatese"	"Laante mij militæreste stuvresåvva."	"Land som blir styrt av militæret."	"Elgå ref. gruppe"	"Godkjent"
"sïelkedahke"	"havn"	"hamn"		"Gaajhkh skïhph mah sïelkedahkese sïelkin tjïehtin åvte-tjaalaldahkide laehpedh."	"Alle skip som la til i havna måtte levere sine manuskript."	"substantiv"	"sïelkedahke, sïelkedahkese"			"Elgå ref. gruppe"	"Godkjent"
"lohkeme-savka"	"lesesal"	"lässal"		"Dïhte lea veartenen stööremes lohkeme-savka."	"Det er verdens største lesesal."	"sammensatt substantiv av lohkeme av lohkedh + savka"	"lohkeme-savka, lohkeme-savkese"			"Elgå ref. gruppe"	"Godkjent"
"åejvie-gïele"	"hovedspråk"	"huvudspråk"		"Åejvie-gïelh leah arabijen gïele, franske gïele jïh engelske gïele."	"Hovedspråkene er arabisk, fransk og engelsk."	"sammensatt substantiv av åejvie + gïele"	"åejvie-gïele, åejvie-gïelese"			"Elgå ref. gruppe"	"Godkjent"
"tseegkedh, tseegkesovvedh"	"grunnlegge, bli til, etablere"	"grundlägga, bli skapad, etablera"				"verb"	"tseegkedh, tseegkie, tseegki, tseegkeme"			"Elgå ref. gruppe"	"Godkjent"
"arabijen gïele"	"arabisk"	"arabisk"		"Åejvie-gïelh leah arabijen gïele, franske gïele jïh engelske gïele"	"Hovedspråkene er arabisk, fransk og engelsk."	"sammensatt substantiv av arabijen + gïele"	"arabijen gïele, arabijen gïelese"			"Elgå ref. gruppe"	"Godkjent"
"tjaaleh-histovrije"	"skrifthistorie"	"skrifthistoria"		"Akte kåanste tjaaleh-histovrijen bïjre."	"Et kunstverk som hander om skrifthistorie."	"sammensatt substantiv av tjaaleh av tjaeledh + histovrije"	"tjaaleh-histovrije, tjaeleh-histovrijasse"			"Elgå ref. gruppe"	"Godkjent"
"åejvie-staare"	"hovedstad"	"huvudstad"		"Staare Rome lea åejvie-staare Italiesne."	"Byen Roma er hovedstaden i Italia."	"sammensatt substantiv av åejvie + staare"	"åejvie-staare, åejvie-staarese"			"Elgå ref. gruppe"	"Godkjent"
"Palatijne"	"Palatinen"	"Palatinen"		"Staarem tseegki aktene beavnardahkesne man nomme Palatijne."	"Han grunnla byen på en høyde med navnet Palatinen."	"substantiv"	"Palatijne, Palatijnese"	"sijjie "	"plass"	"Elgå ref. gruppe"	"Godkjent"
"gyrreldidh"	"erobre, legge under seg"	"lägga under sig, erövra"		"Dåaroehkidie raaji orre laanth gyrreldidh."	"Soldatene ble sent ut for å erobre nye landområder."	"verb"	"gyrreldidh, gyrrelde, gyrreldi, gyrreldamme"			"Elgå ref. gruppe"	"Godkjent"
"laante"	"landområde"	"landområde"		"Dåaroehkidie raaji orre laanth gyrreldidh."	"Soldatene ble sent ut for å erobre nye landområder."	"substantiv"	"laante, laantese"			"Elgå ref. gruppe"	"Godkjent"
"dåaroe-faangke"	"krigsfange"	"krigsfånge"		"Dåarohkh dåaroe-faangkh veeltin."	"Soldatene tok krigsfanger."	"sammensatt substantiv av dåaroe + faangke"	"dåaroe-faangke, dåaroe-faangkese"			"Elgå ref. gruppe"	"Godkjent"
"gruva"	"gruve"	"gruva"		"Dåarohkh dåaroe-faangkh veeltin."	"Soldatene tok krigsfanger."	"substantiv"	"gruva, gruvese"			"Elgå ref. gruppe"	"Godkjent"
"bïgkeme-mïestere"	"byggmester"	"byggmästare"		"Bïgkeme-mïesterh leah dah bööremes veartanisnie."	"Byggmesterne er  de beste i verden."	"sammensatt substantiv"	"bïgkeme-mïestere, bïgkeme-mïesterasse"			"Elgå ref. gruppe"	"Godkjent"
"låamme-soelege"	"lommetyv"	"ficktjuv"		"Geehtedh låamme-soelegijstie!"	"Passe deg for lommetyver!"	"sammensatt substantiv av låamme + soelege"	"låamme-soelege, låamme-soelegasse"			"Elgå ref. gruppe"	"Godkjent"
"vætnere"	"seierherre"	"segerherre"		"Teekste earoe-goengerisnie vætnerem heevehte."	"Teksten på triumfbuen hyller seierherren."	"substantiv av vitnedh"	"vætnere, vætnerasse"			"Elgå ref. gruppe"	"Godkjent"
"gaavnedimmie-sijjie"	"samlingsplass"	"samligsplats"		"Forum Romanume lea mijjen vihkielommes gaavnedimmie-sijjie."	"Forum Romanum er vår viktigste samlingsplass."	"sammensatt substantiv av gaavnedimmie + sijjie"	"gaavnedimmie-sijjie, gaavnedimmie-sæjjan"			"Elgå ref. gruppe"	"Godkjent"
"earoe-goengere"	"triumfbue"	"triumfbåge"		"Forumisnie maahtah gellie earoe-goengerh vuejnedh."	"På Forum kan du se flere triumfbuer."	"sammensatt substantiv av earoe + goengere"	"earoe-goengere, earoe-goengerasse"			"Elgå ref. gruppe"	"Godkjent"
"akvedukte"	"akvedukt"	"akvedukt"		"Akvedukte tjaetsiem staarese stuvrie."	"Akvedukten fører vannet inn til byen."	"substantiv"	"akvedukte, akveduktese"	"tjaetsie-gïrse mij jåartan bijjelen jåhta"	"vannledning som går ovenfor bakken"	"Elgå ref. gruppe"	"Godkjent"
"fonteene"	"fontene"	"tontän"		"Tjaetsiem foeresje fonteenidie."	"Vannet ledes till fontener."	"substantiv"	"fonteene, fonteenese"	"kåanste-gaaltije mestie tjaetsie stratjka."	"kunstkilde hvorfra det spruter vann"	"Elgå ref. gruppe"	"Godkjent"
"laavkome-gåetie"	"badehus"	"badhus"		"Laavkome-gåetieh leah mosaihkigujmie feegreme."	"Badehusene er pyntet med mosaikk."	"sammensatt substantiv av laavkome + gåetie"	"laavkome-gåetie, laavkome-gåatan"			"Elgå ref. gruppe"	"Godkjent"
"mosaihke"	"mosaikk"	"mosaik"		"Laavkome-gåetieh leah mosaihkigujmie feegreme."	"Badehusene er pyntet med mosaikk."	"substantiv"	"mosaihke, mosaihkese"	"guvvie maam gierketjistie jallh klaasetjistie njoereme"	"et bilde satt sammen av små biter av stein eller glass"	"Elgå ref. gruppe"	"Godkjent"
"raadtahtahke"	"utkant"	"utkant"		"Mijjieh aktene gåetesne årrobe staaren raadtatahkesne."	"Vi bor i ett hus i utkanten av byen."	"substantiv"	"raadtahtahke, raadtahtahkese"			"Elgå ref. gruppe"	"Godkjent"
"republihke"	"republikk"	"republik"		"Dah rovmerh aktem stuvremevoetem sjïehtesjin maam gåhtjoejin republihke."	"Romerne innførte en styreform som de kalte republikk."	"substantiv"	"republihke, republihkese"	"Akte laante mesnie reeredæjjam veeljieh jïh dïhte laantem reerie naan jaepieh."	"En stat der lederen velges for en periode."	"Elgå ref. gruppe"	"Godkjent"
"konsule"	"konsul"	"konsul"		"Geekte / göökte konsulh Romerrijhkem ektesne stuvrigan."	"To konsuler styrte Romerriket sammen."	"substantiv"	"konsule, konsulasse"	"nomme"	"tittel"	"Elgå ref. gruppe"	"Godkjent"
"senaate"	"senat"	"senat"		"Båeries gaarmanæjjah mah vihkeles barkoeh åtneme åadtjoejin senaatesne tjahkasjidh."	"Eldre menn, som hadde hatt viktige stillinger, fikk plass i senaten."	"substantiv"	"senaate, senaatese"	"almetje-krirrie mij raeriem reeredæjjide vedti"	"en forsamling som ga råd til dem som styrte"	"Elgå ref. gruppe"	"Godkjent"
"vihkeles barkoe"	"viktig stilling, stilling av betydning"	"viktig ställning, betydande ställning"		"Båeries gaarmanæjjah mah vihkeles barkoeh åtneme åadtjoejin senaatesne tjahkasjidh."	"Eldre menn, som hadde hatt viktige stillinger, fikk plass i senaten."	"uttrykk"				"Elgå ref. gruppe"	"Godkjent"
"vihkeles gaskese"	"viktig kontakt, viktig forbindelse"	"viktig kontakt, viktig förbindelse"		"Lij vihkeles gaskesh utnedh."	"Det gjaldt å ha gode forbindelser."	"uttrykk"				"Elgå ref. gruppe"	"Godkjent"
"monarkije"	"monarki"	"monarki"		"Muvhtene laantesne monarkije."	"Det er monarki i noen land."	"substantiv"	"monarkije, monarkijese"	"laante gusnie gånka jallh trööhnege"	"land som har konge eller dronning"	"Elgå ref. gruppe"	"Godkjent"
"toga"	"toga"	"toga"		"Fæjjoeh vuertiejin fïere-guhten gulhkine maam tjïekeme togan sïjse."	"Fiender ventet med hver sin dolk skjult i togaen."	"substantiv"	"toga, togese"	"akte såårhts skopmehke"	"en slags kappe"	"Elgå ref. gruppe"	"Godkjent"
"årrome-sijjie"	"bebyggelse"	"bebyggelse"	"tseegkeldahke"	"Praedtie båeries årrome-sijjieh jamhkeli."	"Brannen jevnet gammel bebyggelse."	"substantiv"	"årrome-sijjieh, årrome-sijjide"			"Elgå ref. gruppe"	"Godkjent"
"staaten religijovne"	"statsreligion"	"statsreligion"		"Kristelesvoete edtji staaten religijovne årrodh."	"Kristendommen skulle være statens religion."	"uttrykk"				"Elgå ref. gruppe"	"Godkjent"
"katakombe"	"katakombe"	"katakomb"		"Romen kristegassjh åemehkh katakombine juvlejin."	"De kristne i Roma begravde sine døde i katakomber."	"substantiv"	"katakombe, katakombese"	"kråavh jåartan nuelesne gusnie kroepth"	"ganger under jorda hvor det er gravd ut rom for de døde"	"Elgå ref. gruppe"	"Godkjent"
"kåave"	"korridor, gang"	"gång, korridor"		"Desnie lij gïengeles kåavh jåartan nuelesne."	"Der var det dype ganger under jorda."	"substantiv"	"kåave, kåavese"			"Elgå ref. gruppe"	"Godkjent"
"latijne"	"latin"	"latin"		"Datne muvhth jiehtegh latijnesne lïereme. "	"Du har lært å si noen setninger på latin."	"substantiv"	"latijne, latijnese"	"gïele"	"språk"	"Elgå ref. gruppe"	"Godkjent"
"sjædtoe-gærja"	"flora"	"flora"		"Sjædtoe-gærjesne blommaj latijnen nommh."	"I en flora finnes latinske navn på blomster."	"sammensatt substantiv av sjædtoe + gærja"	"sjædtoe-gærja, sjædtoe-gærjese"	"gærja sjædtoej bïjre"	"bok om vekster"	"Elgå ref. gruppe"	"Godkjent"
"dålle-vaerie"	"vulkan"	"vulkan"	"vulkaane, dolle-vaerie, dalle-vaerie"	"Dålle-vaerie Vesuve lij guhkiem dåadtjadalleme."	"Vulkanen Vesuv hadde lenge holdt seg i ro."	"sammensatt substantiv av dålle + vaerie"	"dålle-vaerie, dålle-vaaran"			"Elgå ref. gruppe"	"Godkjent"
"Vesuve"	"Vesuv"	"Vesuvius"		"Dålle-vaerie Vesuve lij guhkiem dåadtjadalleme."	"Vulkanen Vesuv hadde lenge holdt seg i ro."	"substantiv"	"Vesuve, Vesuvese"	"dålle-vaerie"	"vulkan "	"Elgå ref. gruppe"	"Godkjent"
"pinje-moere"	"pinjetre"	"pinje"		"Gaske-mearoen bïjre lea pinje-moerh."	"Omkring Middelhavet finns det pinjer."	"substantiv"	"pinje-moere, pinje-moerese"	"moere"	"treslag"	"Elgå ref. gruppe"	"Godkjent"
"gånka-rijhke"	"kongedømme, kongerike"	"kungadöme, kungarike"				"sammensatt substantiv av gånka + rijhke"	"gånka-rijhke, gånka-rijhkese"			"Elgå ref. gruppe"	"Godkjent"
"sjuevhkiehtimmie dålle-vaereste/dålle-vaerien sjuevhkiehtimmie"	"vulkanutbrudd"	"vulkanutbrott"		"Jïjnjh almetjh jaemiejin dålle-vaerien sjuevkiehtimmesne."	"Mange mennesker døde i vulkanutbruddet."	"uttrykk"				"Elgå ref. gruppe"	"Godkjent"
"pimpe-gierkie"	"pimpstein"	"pimpsten"		"Desnie njieljie meeterh pimpe-gierkeste."	"Der er det fire meter med pimpstein."	"sammensatt substantiv av pimpe + gierkie"	"pimpe-gierkie, pimpe-gearkan"	"vulkaanen tjåålneme ïebne"	"størknet vulkanisk masse"	"Elgå ref. gruppe"	"Godkjent"
"guelie-hipmie"	"fiskelim"	"fisklim"		"Desnie njieljie meeterh pimpe-gierkeste."	"Der er det fire meter med pimpstein."	"sammensatt substantiv av guelie + hipmie"	"guelie-hipmie, guelie-hæpman"			"Elgå ref. gruppe"	"Godkjent"
