"Åarjelsaemien gïele"	"Nöörjen gïele"	"Svöörjen gïele"	"Synonyjme"	"Åarjel-saemien jiehtegh"	"Daaroen jiehtegh"	"Baakoe-tjïerte"	"Baakoen syjjehtimmie"	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"	"Baakoen gaaltije"	"Status"
"Paave"	"Pave"	"Påve"		"Romen Paave sjïdti gærhkan/gærhkoen åejvie."	"Paven i Roma ble kirkens leder."	"substantiv"	"Paave, Paavese"			"Elgå ref. gruppe"	"Godkjent"
"katedraale"	"katedral"	"katedral"		"Dïhte våalohkommes tseegkeldahke lij katedraale."	"Den mest imponerende bygningen er katedralen."	"substantiv"	"katedraale, katedraalese"			"Elgå ref. gruppe"	"Godkjent"
"ektie-laavlome"	"korsang"	"körsång, korsång"		"Dah ektie-laavlomem govlijin jïh soevesem hepsiejin."	"De hørte korsangen og kjente lukten av røkelse."	"sammensatt substantiv av ektie + laavlome"	"ektie-laavlome, ektie-laavlomasse"			"Elgå ref. gruppe"	"Godkjent"
"hierkien gaamege"	"hestesko"	"hästsko"		"Dïhte dan veaksehke juktie maehtieji/meehti hierkien gaamegem sïejkedidh."	"Han var så sterk at han kunne rette ut en hestesko."	"sammensatt substantiv av hierkien + gaamege"	"hierkien gaamege hierkien gaamegasse"			"Elgå ref. gruppe"	"Godkjent"
"fraankere"	"franker"	"frank"		"Medtie gusnie daaletje Frankrijhke jïh Tysklaante fraankerh årroejin."	"Frankerne bodde omtrent der Frankrike og Tyskland ligger i dag."	"substantiv av Frankerriket"	"fraankere, fraankerasse"			"Elgå ref. gruppe"	"Godkjent"
"aassjoestidh"	"lyse i bann"	"bannlysa"		"Pave Gregore aassjoesti gånkam Henrike dïhte 4. "	"Kong Henrik 4. ble lyst i bann av paven Gregor."	"verb"	"aassjoestidh, aassjoste, aassjoesti, aassjoestamme"			"Elgå ref. gruppe"	"Godkjent"
"tsælloe-nïere"	"kjetter"	"kättare"		"Akte mij gærhkoen/gærhkan learoem dööresmahta."	"En som har meninger i strid med kirkens lære."	"sammensatt substantiv av tsælloe + nïere"	"tsælloe-nïere, tsælloe-nïerese"			"Elgå ref. gruppe"	"Godkjent"
"Jeesuse"	"Jesus"	"Jesus"		"Jïjnjesh vuelkiejin/vöölkin sïjhtin Jeesusen kroeptem vaaksjodh."	"Mange reiste av sted for å besøke Jesu grav."	"substantiv"	"Jeesuse, Jeesusasse"	"nomme"	"navn"	"Elgå ref. gruppe"	"Godkjent"
"pilgrijme"	"pilegrim"	"pilgrim"		"Dah mah vuelkiejin/vöölkin gåhtjoeh pilgrijmh."	"De som reiste ble kalt pilegrimer."	"substantiv"	"pilgrijme, pilgrijmese"	"Akte mij vualka aktem aejlies sijjiem vuejnedh."	"En som reiser for å besøke et hellig sted."	"Elgå ref. gruppe"	"Godkjent"
"araabere "	"arabere "	"arab "		"Araaberh Jerusalemem reerin."	"Jerusalem var styrt av araberne."	"substantiv"	"araabere, araaberasse"	"almetjh"	"folkeslag"	"Elgå ref. gruppe"	"Godkjent"
"tyrhkere"	"tyrkere"	"turk"		"Mænngan tyrhkerh staarem gyrreldin."	"Senere erobret tyrkene byen."	"substantiv"	"tyrhkere, tyrhkerasse"	"almetjh"	"folkeslag"	"Elgå ref. gruppe"	"Godkjent"
"hamhkodh"	"storme"	"storma"		"Kroesse-nïerh staarem hamhkoejin. "	"Korsfarerne stormet byen."	"verb"	"hamhkodh, homhke, hamhkoeji, homhkeme"			"Elgå ref. gruppe"	"Godkjent"
"muslijme"	"muslim"	"muslim"		"Staare lea vihkeles judide jïh muslijmide."	"Byen har stor betydning for jøder og muslimer."	"substantiv"	"muslijme, muslijmese"	"almetjh"	"folkeslag"	"Elgå ref. gruppe"	"Godkjent"
"kroesse-nïere"	"korsfarer"	"korsriddare"		"Gaajhkh kroesse-nïerh reepses/rööpses kroessem åadtjoejin."	"Alle korsfarere fikk ett rødt kors."	"sammensatt substantiv av kroesse + nïere"	"kroesse-nïere, kroesse-nïerese"			"Elgå ref. gruppe"	"Godkjent"
"kroessenïere-tïjje"	"korsfarertiden"	"korstågstiden"	"kroessenïere-aejkie"	"Kroessenïere-tïjjesne åadtjoejin jeatjah sijjieh vuejnedh."	"I løpet av korsfarertiden fikk de se andre steder."	"sammensatt substantiv av kroesse-nïere +tïjje"	"kroessenïere-tïjje, kroessenïere-tïjjese"			"Elgå ref. gruppe"	"Godkjent"
"aerpie-reakta"	"arverett"	"arvsrätt"		"Gellie dåaroeh lin aerpie-reaktam laante-dajvi gaavhtan."	"Mange kriger dreide seg om hvem som hadde arverett til landområdene."	"sammensatt substantiv av aerpie + reakta"	"aerpie-reakta, aerpie-reaktese"			"Elgå ref. gruppe"	"Godkjent"
"tjuetiejaepien dåaroe"	"hundreårskrigen"	"hundraårskriget"		"Dåaroe Englaanten jïh Frankrijhken gaskem tjuetiejaepien-dåarojne gohtje."	"Krigen mellom England og Frankrike kalles hundreårskrigen."	"uttrykk"				"Elgå ref. gruppe"	"Godkjent"
"aerpie-prinse"	"kronprins"	"kronprins"		"Jeanne d'Arce sïjhti aerpie-prinsine soptsestidh."	"Jeanne d'Arc ville snakke med kronprinsen."	"sammensatt substantiv av aerpie + prinse"	"aerpie-prinse, aerpie-prinsese"			"Elgå ref. gruppe"	"Godkjent"
"vitneme"	"seier "	"seger, vinst"		"Manne galkem dåaroe-foevem vitnemasse guvhkiehtidh. "	"Jeg skal lede hæren til seier."	"substantiv av vitnedh"	"vitneme, vitnemasse"			"Elgå ref. gruppe"	"Godkjent"
"klostere"	"kloster"	"kloster"		"Jielede klosterisnie"	"Livet ved klostret."	"substantiv"	"klostere, klosterasse"			"Elgå ref. gruppe"	"Godkjent"
"mongke"	"munk"	"munk"		"Gaarmanæjjide mongkine gåhtjoejin."	"Mennene kalte de for munker."	"substantiv"	"mongke, mongkese"			"Elgå ref. gruppe"	"Godkjent"
"nånna"	"nonne"	"nunna"		"Nyjsenæjjide nånnine gåhtjoejin."	"Kvinnene kalte de for nonner."	"substantiv"	"nånna, nånnese"			"Elgå ref. gruppe"	"Godkjent"
"aarvoes"	"verdifull"	"värdefull"		"Muvhth klosterisnie lin aarvoes gærja-tjööngkemh."	"I noen kloster var det verdifulle boksamlinger."	"adjektiv av aarvoe"	"aarvoes"			"Elgå ref. gruppe"	"Godkjent"
"metaalle"	"metall"	"metall"		"Dïhte metaallh buerkiesti."	"Hun beskrev metaller."	"substantiv"	"metaalle, metaallese"			"Elgå ref. gruppe"	"Godkjent"
"musihkem tjaeledh"	"komponere"	"komponera"		"Hildegarde Bingenistie musihkem tjeeli."	"Hildegard av Bingen komponerte sanger."	"uttrykk"				"Elgå ref. gruppe"	"Godkjent"
"musihke-tjaelije"	"komponist"	"komponist"		"Dïhte lea akte dejstie voestes musihke-tjaelijistie maam daejrebe."	"Hun er en av de første komponistene vi kjenner."	"sammensatt substantiv av musihke + tjaelije"	"musihke-tjaelije, musihke-tjaelijasse"	"barkoe"	"arbeide"	"Elgå ref. gruppe"	"Godkjent"
"teologije"	"teologi"	"teologi"		"Vihkeles faagh universiteetesne lij teologije, astronomije jïh medisijne."	"På universitetet var teologi, astronomi og medisin viktige fag."	"substantiv"	"teologije, teologijese"	"maahtoe"	"fag"	"Elgå ref. gruppe"	"Godkjent"
"astronomije"	"astronomi"	"astronomi"		"Vihkeles faagh universiteetesne lij teologije, astronomije jïh medisijne."	"På universitet var teologi, astronomi og medisin viktige fag."	"substantiv"	"astronomije, astronomijese"	"maahtoe"	"fag"	"Elgå ref. gruppe"	"Godkjent"
"medisijne"	"medisin"	"medicin"		"Vihkeles faagh universiteetesne lij teologije, astronomije jïh medisijne."	"På universitetet var teologi, astronomi og medisin viktige fag."	"substantiv"	"medisijne, medisijnese"	"maahtoe"	"fag"	"Elgå ref. gruppe"	"Godkjent"
"araabijen-taalh"	"arabiske tall"	"arabiska tal"		"Daelie mijjieh araabijen-taalh provhkebe."	"Vi bruker arabiske tall i dag."	"sammensatt substantiv av araabijen + taalh"	"araabijen-taalh, araabijen-taalese"			"Elgå ref. gruppe"	"Godkjent"
"indijere"	"indier"	"indier"		"Araaberh lin åssjelem indijeristie lïereme."	"Araberne hadde lært ideen av indierne."	"substantiv"	"indijere, indijerasse"	"almetjh"	"folkeslag"	"Elgå ref. gruppe"	"Godkjent"
"mearoe-almetjh"	"sjøfolk"	"sjöfolk"		"Otnjege-væjsere/kompasse lij vihkeles mearoe-almetjidie."	"For sjøfolk var kompasset viktig."	"sammensatt substantiv av mearoe + almetjh"	"mearoe-almetjh, mearoe-almetjidie"			"Elgå ref. gruppe"	"Godkjent"
"otjnege-væjsere"	"kompass"	"kompass"	"kompasse"	"Otnjege-væjsere/kompasse lij vihkeles mearoeladtjide."	"For sjøfolk var kompasset viktig."	"sammensatt substantiv av otnjege + væjsere"	"otnjege-væjsere, otnjege-væjserasse"			"Elgå ref. gruppe"	"Godkjent"
"tjaetsie-möölla"	"vannmølle"	"vattenkvarn"		"Gaske-aalterisnie tjaetsie-mööllam jïh bïegke-möllam åtnose veeltin."	"Vannmølla og vindmølla ble tatt i bruk i middeladeren."	"sammensatt substantiv av tjaetsie + möölla"	"tjaetsie-möölla, tjaetsie-mööllese"			"Elgå ref. gruppe"	"Godkjent"
"bïegke-möölla"	"vindmølle"	"vindkvarn"		"Gaske-aalterisnie tjaetsie-mööllam jïh bïegke-möllam åtnose veeltin."	"Vannmølla og vindmølla ble tatt i bruk i middeladeren."	"sammensatt substantiv av bïegke + möölla"	"bïegke-möölla, bïegke-mööllese"			"Elgå ref. gruppe"	"Godkjent"
"baeljiestahke"	"blåsebelg"	"blåsbälg"		"Mööllah viehkine maehtiejin/meehtin baeljiestahkide juhtiehtidh."	"Ved hjelp av møllene kunne de drive blåsebelgene."	"substantiv av baeljiestidh"	"baeljiestahke, baeljiestahkese"			"Elgå ref. gruppe"	"Godkjent"
"skåerniesvoete"	"hygiene"	"hygien"		"Skåerniesvoete lij slovkeskisnie."	"Hygienen var dårlig."	"sammensatt substantiv av skåernies + voete"	"skåerniesvoete, skåerniesvoetese"			"Elgå ref. gruppe"	"Godkjent"
"bakterije"	"bakterie"	"bakterie"		"Idtjin ennje bakterijh tjalmahtamme."	"Bakteriene var ennå ikke oppdaget."	"substantiv"	"bakterije, bakterijasse"			"Elgå ref. gruppe"	"Godkjent"
"profeete"	"profet"	"profet"		"Mohammede lij muslijmi profeete."	"Muslimenes profet var Mohammed."	"substantiv"	"profeete, profeetese"	"Akte mij Jupmelen lïhke jïh maahta mievriestidh."	"En som står nær Gud og kan spå."	"Elgå ref. gruppe"	"Godkjent"
"gyrreldimmie"	"erobringstokt"	"erövringståg"		"Dah gyrreldimmide mïnnin. Dah mïnnin gyrreldidh."	"De dro ut på erobringstokter."	"substantiv av gyrreldidh"	"gyrreldimmie, gyrreldæmman"			"Elgå ref. gruppe"	"Godkjent"
"islaame"	"islam"	"islam"		"Dah galkin islaamen learoem geerrehtidh."	"De skulle utbre den islamske læren."	"substantiv"	"islaame, islaamese"	"religijovne"	"religion"	"Elgå ref. gruppe"	"Godkjent"
"moskee"	"moske"	"moske"		"Cordoban moskee dïhte lij tjaebpemes araaberi rijhkesne."	"Moskeen i Cordoba var det vakreste i det arabiske riket."	"substantiv"	"moskee, moskeese"	"gærhka"	"kirke"	"Elgå ref. gruppe"	"Godkjent"
"mavrere"	"maurer"	"mor"		"Andalucije mavreri dajve sjïdti."	"Andalucia ble maurernes område."	"substantiv"	"mavrere, mavrerasse"		"almetjh"	"Elgå ref. gruppe"	"Godkjent"
"nuhtegs-sjædtoe"	"nyttevekst"	"nyttoväxt"		"Jeatjah nuhtegs-sjædtoeh v.g. dïjnehke-raavrh jïh artiskohkh laantese böötin."	"Andre nyttevekster som sukkerrør og artiskokker kom til landet."	"sammansatt substantiv av nuhtegs + sjædtoe"	"nuhtegs-sjædtoe, nuhtegs-sjædtose"			"Elgå ref. gruppe"	"Godkjent"
"dïjnehke-raavre"	"sukkerrør"	"sockerrör"		"Jeatjah nuhtegs-sjædtoeh v.g. dïjnehke-raavrh jïh artiskohkh laantese böötin."	"Andre nyttevekster som sukkerrør og artiskokker kom til landet."	"sammensatt substantiv av dïjnehke + raavre"	"dïjnehke-raavre, dïjnehke-raavrese"			"Elgå ref. gruppe"	"Godkjent"
"artiskohke"	"artiskokke"	"kronärtskokka"		"Jeatjah nuhtegs-sjædtoeh v.g. dïjnehke-raavrh jïh artiskohkh laantese böötin."	"Andre nyttevekster som sukkerrør og artiskokker kom til landet."	"substantiv"	"artiskohke, artiskohkese"	"gïrjege"	"grønnsak"	"Elgå ref. gruppe"	"Godkjent"
"silhke-gurrije"	"silkevever"	"silkevävare"	"silhke-veevije"	"Cordobesne jïjnjh silhke-gurrijinie barkin."	"I Cordoba arbeidet mange som silkevevere."	"sammensatt substantiv av silhke + gurrije"	"silhke-gurrije, silhke-gurrijasse"			"Elgå ref. gruppe"	"Godkjent"
"araabere-hierkie"	"araberhest"	"arabhäst"		"Araabere-hierkie dïhte tjaebpies."	"Araberhesten er flott."	"sammensatt substantiv araabere + hierkie"	"araabere-hierkie, araabere-hearkan"	"dyjre"	"dyr"	"Elgå ref. gruppe"	"Godkjent"
"tjaetsiehtidh"	"vanne"	"bevattna"				"verb av tjaetsie"	"tjaetsiehtidh, tjaetsehte, tjaetsiehti, tjaetsiehtamme"			"Elgå ref. gruppe"	"Godkjent"
"tjaetsiehtimmie-systeeme"	"vanningssystem, vanninganlegg"	"bevattningssystem, bevattningsanläggning"		"Araaberh jïjnjem tjaetsiehtimmie-systeemi bïjre maehtiejin."	"Araberne kunne mye om vanningssystemer."	"sammensatt substantiv tjaetsiehtimmie av tjaetsiehtidh + systeme"	"tjaetsiehtimmie-systeeme, tjaetsiehtimme-systeemese"			"Elgå ref. gruppe"	"Godkjent"
"Koraane "	"Koranen"	"Koran"		"Koraane guvvieh almetjistie jïh dyjrijste/kreekeste næhta."	"Koranen forbyr avbildning av mennesker og dyr."	"substantiv"	"koraane, koraanese"	"muslijmi bijpele"	"muslimsk bibel"	"Elgå ref. gruppe"	"Godkjent"
"kalligrafije"	"kalligrafi"	"kalligrafi"		"Kalligrafije lea faavroes-tjaeleme."	"Kalligrafi er en skjønnskrift."	"substantiv"	"kalligrafije, kalligrafijese"	"tjaelemevuekie"	"skrivemåte"	"Elgå ref. gruppe"	"Godkjent"
