"Åarjelsaemien gïele"	"Nöörjen gïele"	"Baakoe-tjïerhte"	"Baakoen syjjehtimmie, nom. jïh ill."	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"	"Baakoen gaaltije"
"Åarjel-Pole"	"Sørpolen"	"prop"	"Åarjel-Pole, Åarjel-Polese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Luvlie-Europa"	"Østeuropa"	"prop"	"Luvlie-Europa, Luvlie-Europese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Ukraina"	"Ukraina"	"prop"	"Ukraina, Ukrainese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Gardarijhke"	"Gardarike"	"prop"	"Gardarijhke, Gardarijhkese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Bysantse"	"Bysants"	"prop"	"Bysantse, Bysantsese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Polene"	"Polen"	"prop"	"Polene, Polenasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Ungarne"	"Ungarn"	"prop"	"Ungarne, Ungarnasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Veelkesrusslaante"	"Hviterussland"	"prop"	"Veelkesrusslaante, Veelkesrusslaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Asije"	"Asia"	"prop"	"Asije, Asijese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Irake"	"Irak"	"prop"	"Irake, Irakese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Sumere"	"Sumer"	"prop"	"Sumere, Sumerasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Babylone"	"Babylon "	"prop"	"Babylone, Babylonese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Tibete"	"Tibet"	"prop"	"Tibete, Tibetese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Kina"	"Kina"	"prop"	"Kina, Kinese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Sumatra"	"Sumatra"	"prop"	"Sumatra, Sumatrese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Moluhkh"	"Molukkene"	"prop"	"Moluhkh, Moluhkhide"	"Laante"	"Land"	"Elgå ref.gruppe"
"Filippinh"	"Filippinene"	"prop"	"Filippinh, Filippinide"	"Laante"	"Land"	"Elgå ref.gruppe"
"Irane"	"Iran"	"prop"	"Irane, Iranese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Vietname"	"Vietnam"	"prop"	"Vietname, Vietnamese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Pakistane"	"Pakistan"	"prop"	"Pakistane, Pakistanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Japane"	"Japan"	"prop"	"Japane, Japanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Åarjel-Korea"	"Sør-Korea"	"prop"	"Åarjel-Korea, Åarjel-Koreese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Arabijen njaarke"	"Den arabiske halvøya"	"prop"	"Arabijen njaarke, Arabijen njaarkese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Sri Lanka"	"Sri Lanka"	"prop"	"Sri Lanka, Sri Lankese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Bangladeshe"	"Bangladesh"	"prop"	"Bangladeshe, Bangladeshese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Kazakhstane"	"Kazakhstan"	"prop"	"Kazakhstane, Kazakhstanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Usbekistane"	"Usbekistan"	"prop"	"Usbekistane, Usbekistanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Aserbajdsjane"	"Aserbajdsjan"	"prop"	"Aserbajdsjane, Aserbajdsjanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Jordane"	"Jordan"	"prop"	"Jordane, Jordanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Jemene"	"Jemen"	"prop"	"Jemene, Jemenasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Omane"	"Oman"	"prop"	"Omane, Omanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Turkmenistane"	"Turkmenistan"	"prop"	"Turkmenistane, Turkmenistanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Kirgistane"	"Kirgistan"	"prop"	"Kirgistane, Kirgistanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Tadsjikistane"	"Tadsjikistan"	"prop"	"Tadsjikistane, Tadsjikistanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Afganistane"	"Afganistan"	"prop"	"Afganistane, Afganistanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Nepale"	"Nepal"	"prop"	"Nepale, Nepalese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Burma"	"Burma"	"prop"	"Burma, Burmese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Thailaante"	"Thailand"	"prop"	"Thailaante, Thailaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Kambodsja"	"Kambodsja"	"prop"	"Kambodsja, Kambodsjese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Noerhte-Korea"	"Nord-Korea"	"prop"	"Noerhte-Korea, Noerhte-Koreese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Taiwane"	"Taiwan"	"prop"	"Taiwane, Taiwanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Israele"	"Israel"	"prop"	"Israele, Israelese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Dubaie"	"Dubai"	"prop"	"Dubaie, Dubaiese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Noerhte-Amerika"	"Nord-Amerika"	"prop"	"Noerhte-Amerika, Noerhte-Amerikasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Canada"	"Canada"	"prop"	"Canada, Canadasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"USA"	"USA"	"prop"	"USA, USA:se"	"Laante"	"Land"	"Elgå ref.gruppe"
"Guatemala"	"Guatemala"	"prop"	"Guatemala, Guatemalese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Belize"	"Belize"	"prop"	"Belize, Belizese"	"Laante"	"Land"	"Elgå ref.gruppe"
"El Salvadore"	"El Salvador"	"prop"	"El Salvadore, El Salvadorese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Hondurase"	"Honduras"	"prop"	"Hondurase, Hondurasese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Nicaragua"	"Nicaragua"	"prop"	"Nicaragua, Nicaraguasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Costa Rica"	"Costa Rica"	"prop"	"Costa Rica, Costa Ricese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Vinlaante"	"Vinland"	"prop"	"Vinlaante, Vinlaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Jamaica"	"Jamaica"	"prop"	"Jamaica, Jamaicese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Gaske-Amerika"	"Mellom-Amerika"	"prop"	"Gaske-Amerika, Gaske-Amerikasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Åarjel-Amerika"	"Sør-Amerika"	"prop"	"Åarjel-Amerika, Åarjel-Amerikasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Aztekerrijhke"	"Aztekerrike"	"prop"	"Aztekerrijhke, Aztekerrijhkese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Chile"	"Chile"	"prop"	"Chile, Chilese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Amazonase"	"Amazonas"	"prop"	"Amazonase, Amazonasasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Ildlaante"	"Ildlandet"	"prop"	"Ildlaante, Ildlaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Uruguaye"	"Uruguay"	"prop"	"Uruguaye, Uruguayese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Paraguaye"	"Paraguay"	"prop"	"Paraguaye, Paraguayese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Argentina"	"Argentina"	"prop"	"Argentina, Argentinese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Peru"	"Peru"	"prop"	"Peru, Peruese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Ecuadore"	"Ecuador"	"prop"	"Ecuadore, Ecuadorese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Venezuela"	"Venezuela"	"prop"	"Venezuela, Venezuelese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Guyana"	"Guyana"	"prop"	"Guyana, Guyanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Suriname"	"Surinam"	"prop"	"Suriname, Surinamese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Franske Guyana"	"Fransk Guyana"	"prop"	"Franske Guyana, Franske Guyanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Inkarijhke"	"Inkariket"	"prop"	"Inkarijhke, Inkarijhkese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Afrika"	"Afrika"	"prop"	"Afrika, Afrikasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Egypte"	"Egypt"	"prop"	"Egypte, Egyptese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Kapp Horne"	"Kap Horn"	"prop"	"Kapp Horne, Kapp Hornese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Ghana"	"Ghana"	"prop"	"Ghana, Ghanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Maldivh"	"Maldivene"	"prop"	"Maldivh, Maldivide"	"Laante"	"Land"	"Elgå ref.gruppe"
"Luvlie-Afrika"	"Østafrika"	"prop"	"Luvlie-Afrika, Luvlie-Afrikasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Algerie"	"Algerie"	"prop"	"Algerie, Algeriese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Jillie-Sahara"	"Vest-Sahara"	"prop"	"Jillie-Sahara, Jillie-Saharese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Nigere"	"Niger"	"prop"	"Nigere, Nigerasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Tsjade "	"Tsjad "	"prop"	"Tsjade, Tsjadese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Sudane"	"Sudan"	"prop"	"Sudane, Sudanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Eritrea"	"Eritrea"	"prop"	"Eritrea, Eritreese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Djiboutije"	"Djibouti"	"prop"	"Djiboutije, Djiboutijese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Senegale"	"Senegal"	"prop"	"Senegale, Senegalese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Guinea-Bissaue"	"Guinea-Bissau"	"prop"	"Guinea-Bissaue, Guinea-Bissauese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Guinea "	"Guinea "	"prop"	"Guinea, Guineese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Sierra Leone"	"Sierra Leone"	"prop"	"Sierra Leone, Sierra Leonese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Burkina Faso"	"Burkina Faso"	"prop"	"Burkina Faso, Burkina Fasose"	"Laante"	"Land"	"Elgå ref.gruppe"
"Togo"	"Togo"	"prop"	"Togo, Togose"	"Laante"	"Land"	"Elgå ref.gruppe"
"Benine"	"Benin"	"prop"	"Benine, Beninese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Kamerune"	"Kamerun"	"prop"	"Kamerune, Kamerunese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Sentralafrikan Republihke"	"Sentralafrikanske Republikk"	"prop"	"Sentralafrikan Republihke, Sentralafrikan Republihkese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Gabone"	"Gabon"	"prop"	"Gabone, Gabonese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Kongoe"	"Kongo "	"prop"	"Kongoe, Kongose"	"Laante"	"Land"	"Elgå ref.gruppe"
"Uganda"	"Uganda"	"prop"	"Uganda, Ugandese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Kenya"	"Kenya"	"prop"	"Kenya, Kenyese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Angola"	"Angola"	"prop"	"Angola, Angolese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Mosambike"	"Mosambik"	"prop"	"Mosambike, Mosambikese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Zimbabwe"	"Zimbabwe"	"prop"	"Zimbabwe, Zimbabwese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Botswana"	"Botswana"	"prop"	"Botswana, Botswanese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Åarjel-Afrika"	"Sør-Afrika"	"prop"	"Åarjel-Afrika, Åarjel-Afrikasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Lesotho"	"Lesotho"	"prop"	"Lesotho, Lesothose"	"Laante"	"Land"	"Elgå ref.gruppe"
"Swazilaante"	"Swaziland"	"prop"	"Swazilaante. Swazilaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Madagaskere"	"Madagaskar"	"prop"	"Madagaskere, Madagaskerasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Kapp Verde"	"Kapp Verde"	"prop"	"Kapp Verde, Kapp Verdese"	"Laante"	"Land"	"Elgå ref.gruppe"
