Åarjelsaemien gïele	Nöörjen gïele	Sveerjen gïele	Synonyjme	Baakoen definssjovne saemien gïelesne/Åarjelsaemien jiehtegh	Baakoen definisjovne daaroen gïelesne/Daaroen jiehtegh	Baakoe-tjïerte	Baakoen syjjehtimmie	Baakoen gaaltije	Statuse	Midgard	Siebr.	Kapittel	Side	
Karnake	Karnak	Karnak				substantiv	Karnake, Karnakese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 16	
gierkie-haajhke  	søyle	kolonn, pelare		sammensatt substantiv av gierkie + haajhke 	gierkie-haajhke, gierkie-haajhkese	Dïhte akte stoerre teempele mij gierkie-haajhkine tjåadtjoen.	Det var ett stort tempel båret av søyler.	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 16	
gåetie-maalle	modell av bolighus	husmodell		Kroeptine smaave gåetie-mallh gaavneme.	I graver er det funnet små modeller av bolighus.	sammensatt substantiv av gåetie + malle	gåetie-malle, gåetie-mallese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 16	
reljieffe	relieff	relief		Maehtetje vætnarassh teempelidie guvviejgujmie, tjaalegigujmie jïh relieffigujmie rïesin.	Dyktige håndverkere pyntet templene med malerier, skrift og relieffer.	substantiv	relieffe, relieffese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 16	
sfinkse	sfinks	sfinks		Dïhte åavtoes sfinkse.	Den mystiske sfinksen.	substantiv	sfinkse, sfinksese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 17	
læjjonen bolle	løvekropp	lejonkropp		Sfinksen akten læjjonen bolle jïh almetjen åejjie.	Sfinksen har en løvekropp og et menneskehode.	frase	læjjonen bolle, læjjonen bollese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 17	
gierkie-plaassa	blokk	block		Tempelem måedtien gierkie-plaassese spyölhkesin.	Tempelet deltes opp i flere blokker.	sammensatt substantiv av gierkie + plaassa	gierkie-plaassa, gierkie-plaassese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 17	
paehpere-plaerie	papir-ark	pappersark	paehpere-arhke	Plaeride njöömkehtallin paehpere-gabrine.	Arkene ble klistret sammen til ruller.	sammensatt substantiv av paehpere + plaerie	paehpere-plaerie, paehpere-plaaran	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 18	
hieroglyjfe	hieroglyfer	hieroglyfer		Egypteri tjaelegh hieroglyjfine gåhtjobe.	Egypterne hadde en skrift, som vi kaller hieroglyfer.	substantiv	hieroglyjfe, hieroglyjfese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 18	
papyruse	papyrus	papyrus		Egypterh paehperh papyrusen stïelhkeste darjoejin.	Egypterne laget papir av stilken til papyrusen.	substantiv	papyruse, papyrusasse	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 18	
paehpere-gabre	rull (av papir)	pappersrulle		Plaeride njöömkehtallin paehpere-gabrine.	Arkene ble klistret sammen til ruller.	sammensatt substantiv av paehpere + gabre	paehpere-gabre, paehpere-gabrese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 18	
arkeolååge	arkeolog	arkeolog		Daelie barre arkeolåågh luhpiem utnieh daeverh ohtsedidh.	I dag er det bare arkeologene som får lete etter gjenstander.	substantiv	arkeolååge, arkeolåågese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 20	
egyptologije	egyptologi	egyptologi		Egyptologijen viehkine  Egypten bïjre åadtjobe lïeredh.	Ved hjelp av egyptologi får vi lære om Egypt.	substantiv	egyptologije, egyptoligijese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 20	
tjaetsiem stuvrehtidh	lede   (for eksempel vann)	leda vatten		Dah tjaetsiem gejhkie dajvide stuvrehtin.	De ledet vannet til tørre områder.	frase		Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 22	
sumere	sumer	sumerer		Sumerh gaatah jïh gåetieh bïgkin.	Sumererne bygde gater og hus.	substantiv	sumere, sumerese	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 23	
faamohke	mektig 	mäktig				adjektiv  	faamohke, faamohks	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 23	
tjoejehtahke	musikkinstrument	musikinstrument				substantiv	tjoejehtahke, tjoejehtahkese	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 23	
zigguraate	ziggurat	ziggurat 		Babylonesne lij ziggurate, akte tempeletåarne jïjnjh laptigujmie.	I Babylon var det en ziggurat, et tempeltårn med mange etasjer.	substantiv	ziggurate, zigguratese	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 23	
heamture-ligke	eventyrlig, utrolig	otrolig, sagolik		Kroeptine heamture-ligke skaehtieh gaavneme: musihke-dïrregh jïh tjïelke-gierkieh.	I graver har man funnet eventyrlige skatter: musikkinstrument og edelsteiner.	adjektiv	heamture-ligke, heamture-ligkes	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 23	
tjïelke-gierkie	edelstein	ädelsten		Kroeptine heamture-ligke skaehtieh gaavneme: musihke-dïrregh jïh tjïelke-gierkieh.	I graver har man funnet eventyrlige skatter: musikkinstrument og edelsteiner.	sammensatt substantiv av tjïelke + gierkie	tjïelke-gierkie, tjïelke-gearkan	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 23	
jieniemdidh 	kopiere (mangfoldiggjøre)	kopiera	kopieradidh	Dïhte lea 23 bielieh jieniemdamme.	Hun har kopiert 23 sider.	verb	jieniemdidh, jienemde, jieniemdi, jieniemdamme	Elgå ref.gruppe	Godkjent					
baakoe-lïhtse	stavelse	stavelse		Væhtide mahte seamma-laakan lohkin goh mijjen baakoe-lïhtsh.	Tegnene ble lest på omtrent samme måte som våre stavelser.	sammensatt substantiv av baakoe + lïhtse	baakoe-lïhtse, baakoe-lïhtsese	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 24	
kile-tjaeleme	kileskrift	kilskrift		Sumerh aelkiestin kile-tjaaleminie tjaeledh.	Sumererne begynte og skrive med kileskrift.	sammensatt substantiv av kile + tjaeleme	kile-tjaeleme, kile-tjaelemasse	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 24	
tjaeleme-dïrrege	skriveredskap	skrivredskap		Dah tjïehtin aaj tjaeleme-dïrregidie tjoehpedh.	De måtte også skjære til skriveredskapet.	sammensatt substantiv av tjaeleme + dïrrege	tjaeleme-dïrrege, tjaeleme-dïrregasse	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 24	
laejrie-tavla	leirtavle	lertavla		Voestegh laejrie-tavlide darjodh  lïeredh.	Først måtte de lære å lage leirtavlene sine.	sammensatt substantiv av laejrie + taavla	laejrie-taavla, laejrie-taavlese	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 24	
fuemtie	drake	drake				substantiv	fuemtie, fåamtan	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 26	
lapte	etasje	etage, våning				substantiv	lapte, laptese	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 26	
elmien naestieh	stjernehimmel	stjärnhimmel		Tåarneste dah babylonerh maehtiejin elmien naestieh vuartasjidh.	I tårnet kunne babylonerne studere stjernehimmelen.	sammensatt substantiv av elmien + naestieh	elmien naestieh, elmien naestide	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 26	
vuartasjidh	studere (med øynene)	studera med ögonen	gïehtjedidh	Tåarneste dah babylonerh meehtin naestie-elmiem vuartasjidh.	I tårnet kunne babylonerne studere stjernehimmelen.	verb	vuartasjidh, vuartasje, vuartasji, vuartasjamme	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 26	
slåahte	palass	palats	palasse	Gånka slåahtem tseegki staaren jarngesne.	Kongen bygde et palass midt i byen.	substantiv	slåahte, slåahtese	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 26	
pyramijde	pyramide	pyramid		Jïjnjh Faraovhpyramijdi sisnie juvlejin.	Mange faraoer ble begravd i pyramider.	substantiv	pyramijde, pyramijdese	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 29	
bååjhkehke	lærd	lärd 		Dah bååjhkehkh matematihkine jïh astronomijine barkin.	De lærde arbeidet med matematikk og astronomi.	substantiv av bååjhkehts	bååjhkehke, bååjhkehkasse	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 29	
reeredæjja	hersker	härskare		Dïhte lij stoerre reeredæjja.	Han var en stor hersker.	substantiv av reeredh	reeredæjja, reeredæjjese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 29	
damts-væhta	symbole	symbol	væhta	Vïenhtin guvvie-væhtah ajve damts-væhtah lin.	Man trodde att tegnene bare var symboler.	substantiv	damts-væhta, damts-væhtese	Elgå ref.gruppe	Godkjent	Historie 5		Hieroglyfenes gåte	side 30	
kartusje	kartusj	kartusch		Gellie kartusjh Rosettan gierkien nelnie gaavni.	På Rosettasteinen fant han flere kartusjer.	substantiv	kartusje, kartusjese	Elgå ref.gruppe		Historie 5		Hieroglyfenes gåte	side 31	
egyptolååge	egyptolog	egyptolog		Egyptologe gagkesti tjaalegidie viertiestidh.	Egyptologen håpet å kunne sammenlikne tekstene.	substantiv	egyptolååge, egyptolåågese	Elgå ref.gruppe	Godkjent	Historie 5		Hieroglyfenes gåte	side 31	
museume	museum	museum		Jïjnje destie maam gaavneme lea  museuminie.	Mye av det som er funnet er plassert i museer.	substantiv	museume, museumasse	Elgå ref.gruppe	Godkjent	Historie 5		Hieroglyfenes gåte	side 31	
daevere-våarhkoe	samling (av ting)	samling av föremål		Stööremes daevere-våarhkoe Egypten tjeahposte lea Kairon museumisnie.	Den største samlingen av egyptisk kunst finnes på museet i Kairo.	sammensatt substantiv av daevere + våarhkoe	daevere-våarhkoe, deavere-våarhkose	Elgå ref.gruppe	Godkjent	Historie 5		Hieroglyfenes gåte	side 32	
kroepte-skaehtie	gravskatt	gravskatt		Nöörjesne maahta kroepte-skaehtieh Kultuvrehistovrijen Museumisnie Oslosne vuejnedh.	I Norge kan man se gravskatter på Kulturhistorisk museum i Oslo.	sammensatt substantiv av kroepte + skaehtie	kroepte-skaehtie, kroepte-skaahtan	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 32	
bööremes-laakan	på beste måte	bra, på ett bra sätt		Museumisnie maahta daeverh bööremes-laakan vaarjelidh.	I museene kan gjenstandene bevares på beste måte.	frase		Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 32	
kroehkeme	utgraving	utgrävning		Kroehkemisnie jeatjah laantesne. arkeolååge ij  luhpiem utnieh  destie maam-akt vaeltedh.	Ved en utgraving i ett annet land kan ikke arkeologen ta med seg noe derfra.	substantiv av kroehkedh	kroehkeme, kroehkemasse	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 32	
tjaeliestimmie-læstoe	noteringsliste	lista, notering		Tjaeliestimmie-læstoeh tjaalasuvvieh gaajhki gaavnoej bïjre.	Det føres lister over alle funn.	substantiv av tjaeliestidh	tjaeliestimmie-læstoe,  tjaeliestimmie-læstose	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 32	
gaavnoe	funn	fynd		Læstoeh tjaalasuvvieh gaajhki gaavnoej bïjre.	Det føres lister over alle funn.	substantiv av gaavnedidh	gaavnoe, gaavnose	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 32	
goerpedehtedh	ramme	drabba		Vigkieh museumidie goerpedehtieh.	Konflikter rammer museene.	verb	goerpedehtedh, goerpedahta, goerpedehti, goerpedahteme	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 32	
vigkie	konflikt	konflikt		Vigkieh museumidie goerpedehtieh.	Konflikter rammer museene.	substantiv	vigkie, vægkan	Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 32	
julmies dahkoe	terrorhandling	terrorhandling		Museumh leah julmies dahkojste slahtjegamme.	Museer har blitt ødelagt av terrorhandlinger.	frase		Elgå ref.gruppe	Godkjent	Historie 5		Mesopotamia	side 32	
Forum Romanume	Forum Romanum	Forum Romanum				substantiv	Forum Romanume, Forum Romanumasse	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket		
Antihke	Antikken	Antiken		Antihke lea boelhke europan histovrijesne.	Antikken er navnet på en periode i europeisk historie.	substantiv	Antihke, Antihkese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 34	
stuvreme-vuekie	styresett	styresätt	reereme-vuekie	Dïhte maam akt jeahta Hellasen stuvreme-vuekien bïjre.	Det forteller noe om styresettet i Hellas. 	sammensatt substantiv av stuvreme + vuekie	stuvreme-vuekie, stuvreme-vuakan; reereme-vuekie, reereme-vuakan	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 35	
jieleme-vuekie	levevis	levnadssätt		Dïhte maam akt jeahta Hellasen jïelemevuekien bïjre.	Det forteller noe om leveviset i Hellas.	sammensatt substantiv	jieleme-vuekie, jieleme-vuakan	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 35	
prinse	prins	prins		Prinse Helenam soptsestehti satnem dåeriedidh.	Prinsen overtalte Helena til å følge med ham.	substantiv	prinse, prinsese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 36	
skïhpe-pluahta	skipsflåte	skeppsflotta	skïhpe-laajve	Dah stoerre skïhpepluahtam tjöönghkin jïh dej mïnngesne vöölkin.	De samlet en stor flåte av skip og reiste etter dem.	sammensatt substantiv av skïhpe + pluahta	skïhpe-pluahta, skïhpe-pluahtese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 36	
faavroesvoete   	skjønnhet	skönhet		Helena lij gåvlehke faavroesvoeten åvteste.	Helena var berømt for sin skjønnhet.	substantiv av faavroes	faavroesvoete, faavroesvoetese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 36	
Akillesen soene	Akillessene	Akillessena		Dïhte soene mij njïetsegen åedtjiem båatskan debrehte.	Senen som fester leggmuskelen i hælen kalles akillessenen.	sammensatt substantiv Akillese + soene	Akillesen soene, Akillesen soenese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 37	
moere-hierkie	trehest	trähäst		Dah  stoerre moere-hierkiem darjoejin.	De laget en stor trehest.	sammensatt substantiv	moere-hierkie, moere-hearkan	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 37	
trojaanere	trojan 	trojan		Trojanerh vïenhtin moere-hierkie lij vadtese.	Trojanerne trodde trehesten var en gave.	substantiv 	trojanere, trojaanerasse	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 37	
Ilijade	Iliaden	Illiaden		Illijade vaajesem Trojan bïjre soptseste.	Illiaden forteller oss sagnet om Troja.	substantiv	Illijade, Illijadese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 38	
tjihtese-tjaelije	dikter	diktare	dikte-tjaelije	Homere lij tjihtese-tjaelije jïh Illiadem tjeeli.	Homer var dikter og skrev Illiaden.	substantiv	tjihtese-tjaelije, tjihtese-tjaelijasse; dikte-tjaelije, dikte-tjaelijasse	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 38	
baakoe-gaske	mellomrom mellom ord	mellanslag		Greekerh baakoe-gasken bielelen tjeelin.	Grekerne skrev uten mellomrom mellom ordene.	sammensatt substantiv	baakoe-gaske, baakoe-gaskese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 38	
histovrijen aaltere	historisk tid	historisk tid	histovrijen aejkie, histovrijen tïjje	Dellie histovrijen aaltere/tijje aalka.	Da begynner historisk tid.	frase		Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 38	
staare-staate	bystat	stadsstat		Hellasisnie lij gellie staare-staath.	I Hellas fantes det mange bystater.	sammensatt substantiv av staare + staate	staare-staate, staare-staatese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 39	
Almetje-krirrie	Folkeforsamlingen	Folkförsamlingen		Gellie tåvsenh gaavnedin gosse tjåanghkoe Almetje-krirresne.	Flere tusen møtte opp når det var møter i Folkeforsamlingen.	sammensatt substantiv	Almetje-krirrie, Almetje-krærran	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 40	
gaavnedidh	møte opp	möta upp		Gellie tåvsenh gaavnedin gosse tjåanghkoe Almetje-krirresne.	Flere tusen møtte opp når det var møter i Folkeforsamlingen.	verb	båetedh, båata, bööti, båateme	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 40	
gaagkije 	slave 	slav 	slaave	Slavh idtjin naan veeljeme-reaktam utnieh.	Slavene hadde ingen stemmerett.	substantiv	slave, slavese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 40	
athenere	athener	athenare		Dah athenerh musihkem jïh kåanstem lyjhkin.	Athenerne likte musikk og kunst.	substantiv	athenere, athenerese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 40	
frije ålma, frïjje ålma	fri mann	fri man 		Gaajhkh frije ålmah/frïjje ålmah åadtjoejin meatan årrodh jïehtedh gumhtie/guktie laantem stuvredh.	Alle frie menn fikk være med og bestemme hvordan staten skulle styres.	frase		Elgå ref. gruppe	Godkjent	Historie 5		Historie 5	s 40	
ov-vietseles	upopulær	opopulär		Bene jis naaken ov-vietseles sjidteme dellie ij naan aarmoe.	Men hvis noen ble upopulær var det ingen nåde.	neg. adjektiv av vietseles	ov-vietseles	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 41	
våarpome	loddtrekning	lottdragning	våarpoehtimmie	Dah mah vihkeles barkoeh utnin veeljesovvin vuerpiedimmesne.	De som hadde viktige oppgaver ble valgt ut ved loddtrekning.	substantiv av vuerpie	vuerpiedimmie, vuerpiedæmman	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 41	
militæren haarjanimmie	militerøvelse	militärövning	militæren heerjehtimmie	Spartesne gaarmanæjjah jïjnjem tijjem militæren haarjanæmman provhkin.	I Sparta brukte mennene mye av tida til militærøvelser.	sammensatt substantiv av militære + haarjanimmie	militæren haarjanimmie, militæren haarjanæmman	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 42	
marmore	marmor	marmor		Dah tjaebpies tempelh marmoristie  tseegkin.	De bygde flotte templer av marmor.	substantiv	marmore, marmorasse	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 45	
