!vuentiemie	!vuen^tie^mie
aagkele	aag^ke^le
dåvvoje	dåv^vo^je
dååbpese	dååb^pe^se
dååpmehke	dååp^meh^ke
dååsketje	dåås^ke^tje
dååsmere	dåås^me^re
dååstove	dåås^to^ve
dæhketje	dæh^ke^tje
dïedtije	dïed^ti^je
dïedtove	dïed^to^ve
dïejvese	dïej^ve^se
dïempere	dïem^pe^re
dïenesje	dïe^ne^sje
dïeneste	dïe^nes^te
dïeskere	dïes^ke^re
dïjnege	dïj^ne^ge
dïjnehke	dïj^neh^ke
dïmhpere	dïmh^pe^re
dïmpere	dïm^pe^re
dïpmije	dïp^mi^je
dïrrege	dïr^re^ge
dïtnele	dït^ne^le
dööhtjere	dööh^tje^re
eadtjohke	ead^tjoh^ke
eadtjoje	ead^tjo^je
eahpele	eah^pe^le
eahpere	eah^pe^re
eajkede	eaj^ke^de
eajmeske	eaj^mes^ke
eakere	ea^ke^re
earene	ea^re^ne
eatneme	eat^ne^me
ebrehke	eb^reh^ke
ebrene	eb^re^ne
eejtege	eej^te^ge
eelege	ee^le^ge
eengkele	eeng^ke^le
eepose	ee^po^se
eeptsege	eep^tse^ge
eerpije	eer^pi^je
eesele	ee^se^le
eetere	ee^te^re
elmede	el^me^de
etnije	et^ni^je
etnose	et^no^se
faadtere	faad^te^re
faahtele	faah^te^le
faalehtje	faa^leh^tje
faamoje	faa^mo^je
faerede	fae^re^de
faktore	fak^to^re
feabpore	feab^po^re
fealpere	feal^pe^re
feebere	fee^be^re
feelege	fee^le^ge
feeleme	fee^le^me
feelije	fee^li^je
fellehke	fel^leh^ke
fijfere	fij^fe^re
fitnele	fit^ne^le
flyjjere	flyj^je^re
foekehke	foe^keh^ke
foekese	foe^ke^se
foetere	foe^te^re
fosfore	fos^fo^re
fropmehke	frop^meh^ke
frypmehke	fryp^meh^ke
fræjjere	fræj^je^re
fuabtetje	fuab^te^tje
fuamtetje	fuam^te^tje
fuerege	fue^re^ge
fyjletje	fyj^le^tje
fyölletje	fyöl^le^tje
fåvrehke	fåv^reh^ke
fååhpere	fååh^pe^re
fååjsetje	fååj^se^tje
fååretje	fåå^re^tje
fæjretje	fæj^re^tje
fæskere	fæs^ke^re
fïebere	fïe^be^re
fïerpene	fïer^pe^ne
fïerpese	fïer^pe^se
fïtnele	fït^ne^le
gaagkije	gaag^ki^je
gaahtjeme	gaah^tje^me
gaajmere	gaaj^me^re
gaajsege	gaaj^se^ge
gaajvele	gaaj^ve^le
gaallohke	gaal^loh^ke
gaalmetje	gaal^me^tje
gaalsohke	gaal^soh^ke
gaaltenje	gaal^te^nje
gaaltije	gaal^ti^je
gaamese	gaa^me^se
gaampelde	gaam^pel^de
gaampetje	gaam^pe^tje
gaapele	gaa^pe^le
gaaptese	gaap^te^se
gaarene	gaa^re^ne
gaaretje	gaa^re^tje
gaarhkese	gaarh^ke^se
gaartije	gaar^ti^je
gaasije	gaa^si^je
gaatene	gaa^te^ne
gaavtjetje	gaav^tje^tje
gablehke	gab^leh^ke
gadtere	gad^te^re
gadtsenje	gad^tse^nje
gadtsese	gad^tse^se
gaeblehke	gaeb^leh^ke
gaejnele	gaej^ne^le
gaejnjele	gaej^nje^le
gaejvehke	gaej^veh^ke
gaekere	gae^ke^re
gaektjehke	gaek^tjeh^ke
gaengkere	gaeng^ke^re
gaeptehke	gaep^teh^ke
gaerjele	gaer^je^le
gaerpene	gaer^pe^ne
gaertene	gaer^te^ne
gaetskehke	gaets^keh^ke
gaetskeme	gaets^ke^me
gaevnese	gaev^ne^se
gaffele	gaf^fe^le
gajhkeme	gajh^ke^me
gajhkije	gajh^ki^je
gajvije	gaj^vi^je
galhkuve	galh^ku^ve
galkeme	gal^ke^me
galkije	gal^ki^je
galkuve	gal^ku^ve
galmese	gal^me^se
galtege	gal^te^ge
gamtjese	gam^tje^se
gaptese	gap^te^se
gaptjese	gap^tje^se
garrese	gar^re^se
gaskeme	gas^ke^me
gaskese	gas^ke^se
gasnege	gas^ne^ge
gasngese	gas^nge^se
geabnetje	geab^ne^tje
gearene	gea^re^ne
gearketje	gear^ke^tje
geaselme	gea^sel^me
geehtije	geeh^ti^je
geejmese	geej^me^se
geellege	geel^le^ge
geepehke	gee^peh^ke
geeruve	gee^ru^ve
gejhkehke	gejh^keh^ke
gengsjehke	gengs^jeh^ke
genhtseme	genht^se^me
gerngere	ger^nge^re
gerpere	ger^pe^re
gertele	ger^te^le
giebrese	gieb^re^se
giedtese	gied^te^se
gierehtse	gie^reh^tse
gierese	gie^re^se
giernehke	gier^neh^ke
gieruve	gie^ru^ve
gieseme	gie^se^me
gihpere	gih^pe^re
gilkije	gil^ki^je
gilkuve	gil^ku^ve
girrehke	gir^reh^ke
glovrije	glov^ri^je
godtsenje	god^tse^nje
goebleme	goeb^le^me
goebpere	goeb^pe^re
goehksege	goehk^se^ge
goehmele	goeh^me^le
goeksege	goek^se^ge
goelmese	goel^me^se
goelpene	goel^pe^ne
goengere	goe^nge^re
goepege	goe^pe^ge
goepehke	goe^peh^ke
goerehtje	goe^reh^tje
goerhtele	goerh^te^le
goerkese	goer^ke^se
goesehke	goe^seh^ke
goesmere	goes^me^re
goetsehtje	goe^tseh^tje
goevele	goe^ve^le
goevtese	goev^te^se
goffere	gof^fe^re
gohpege	goh^pe^ge
gohtere	goh^te^re
gojkele	goj^ke^le
golkehke	gol^keh^ke
gommere	gom^me^re
gomtjele	gom^tje^le
gonhtehke	gonh^teh^ke
gorrese	gor^re^se
gossehtse	gos^seh^tse
govkije	gov^ki^je
govvese	gov^ve^se
gratsije	gra^tsi^je
grævlinge	græv^li^nge
gualetje	gua^le^tje
guassetje	guas^se^tje
guddeme	gud^de^me
guedehtje	gue^deh^tje
guedtede	gued^te^de
guedteme	gued^te^me
guedtije	gued^ti^je
guehpere	gueh^pe^re
guelhtehke	guelh^teh^ke
guenhtehke	guenh^teh^ke
guerehtje	gue^reh^tje
guesehke	gue^seh^ke
guevtele	guev^te^le
guhpege	guh^pe^ge
guhpehke	guh^peh^ke
guhtsije	guh^tsi^je
guksese	guk^se^se
gurrelme	gur^rel^me
gurreme	gur^re^me
gurrije	gur^ri^je
gurruve	gur^ru^ve
gutnije	gut^ni^je
gyhpele	gyh^pe^le
gyhpenje	gyh^pe^nje
gyhtsele	gyh^tse^le
gymnaase	gym^naa^se
gyrrehke	gyr^reh^ke
gyöjnetje	gyöj^ne^tje
gyöletje	gyö^le^tje
gyölleme	gyöl^le^me
gyöngere	gyö^nge^re
gyönjere	gyö^nje^re
györtege	györ^te^ge
györtenje	györ^te^nje
gyösehke	gyö^seh^ke
gyövngere	gyöv^nge^re
gyövnjere	gyöv^nje^re
gåajpehtje	gåaj^peh^tje
gåangkohtje	gåang^koh^tje
gåaroje	gåa^ro^je
gåarome	gåa^ro^me
gåatome	gåa^to^me
gåavene	gåa^ve^ne
gåblohke	gåb^loh^ke
gåebleme	gåeb^le^me
gåehpele	gåeh^pe^le
gåehtjeme	gåeh^tje^me
gåehtjere	gåeh^tje^re
gåehtsuve	gåeh^tsu^ve
gåeskuve	gåes^ku^ve
gåetehke	gåe^teh^ke
gåptose	gåp^to^se
gårmehke	går^meh^ke
gårrije	går^ri^je
gåtnere	gåt^ne^re
gååjhkehtse	gååjh^keh^tse
gååjnetje	gååj^ne^tje
gååjpese	gååj^pe^se
gååjvetje	gååj^ve^tje
gåålese	gåå^le^se
gåållese	gåål^le^se
gåålletje	gåål^le^tje
gååmsetje	gååm^se^tje
gåångketje	gåång^ke^tje
gåårtenje	gåår^te^nje
gåårtese	gåår^te^se
gæjmohtje	gæj^moh^tje
gæjsjeme	gæj^sje^me
gæljoje	gæ^ljo^je
gæmhpome	gæmh^po^me
gïehkeme	gïeh^ke^me
gïejetje	gïe^je^tje
gïeltege	gïel^te^ge
gïemhpese	gïemh^pe^se
gïerene	gïe^re^ne
gïerese	gïe^re^se
gïerhkeme	gïerh^ke^me
gïerkehtse	gïer^keh^tse
gïermesje	gïer^me^sje
gïesehke	gïe^seh^ke
gïetkeme	gïet^ke^me
gïhpetje	gïh^pe^tje
gïhtere	gïh^te^re
gïknjele	gïk^nje^le
gïrrehke	gïr^reh^ke
gïtnjele	gït^nje^le
gööleme	göö^le^me
göölije	göö^li^je
haakene	haa^ke^ne
haalehke	haa^leh^ke
haarsese	haar^se^se
haartege	haar^te^ge
haerjeme	haer^je^me
haesteme	haes^te^me
halkere	hal^ke^re
hamstere	ham^ste^re
harrije	har^ri^je
hartege	har^te^ge
hassehke	has^seh^ke
havketje	hav^ke^tje
heamture	heam^tu^re
heantije	hean^ti^je
hearkeske	hear^kes^ke
heelsege	heel^se^ge
heerrehke	heer^reh^ke
hektove	hek^to^ve
herrehke	her^reh^ke
hierkeme	hier^ke^me
hierkeske	hier^kes^ke
hompere	hom^pe^re
hopmele	hop^me^le
huhteme	huh^te^me
hummere	hum^me^re
hurrehke	hur^reh^ke
hussege	hus^se^ge
huvmore	huv^mo^re
hyölmesje	hyöl^me^sje
hyörvetje	hyör^ve^tje
håaleme	håa^le^me
håantjeme	håan^tje^me
håålhketje	håålh^ke^tje
hååneske	håå^nes^ke
hïejhtege	hïejh^te^ge
iehkede	ieh^ke^de
ierhtehke	ierh^teh^ke
ihkuve	ih^ku^ve
jaavretje	jaav^re^tje
jaavvotje	jaav^vo^tje
jadtove	jad^to^ve
jaemede	jae^me^de
jaememe	jae^me^me
jahkeske	jah^kes^ke
jahtege	jah^te^ge
jalkede	jal^ke^de
jalleme	jal^le^me
jarpehke	jar^peh^ke
jarreme	jar^re^me
jearmetje	jear^me^tje
jeeluve	jee^lu^ve
jeemege	jee^me^ge
jeestere	jees^te^re
jehkede	jeh^ke^de
jemhkelde	jemh^kel^de
jemhkele	jemh^ke^le
jestije	jes^ti^je
jiegkuve	jieg^ku^ve
jiehtege	jieh^te^ge
jiehtese	jieh^te^se
jiekuve	jie^ku^ve
jielede	jie^le^de
jieleme	jie^le^me
jielije	jie^li^je
jievege	jie^ve^ge
jijhteme	jijh^te^me
jijmuve	jij^mu^ve
jillehtje	jil^leh^tje
jipmele	jip^me^le
jirrede	jir^re^de
jobnetje	job^ne^tje
joejkeme	joej^ke^me
joejtehtse	joej^teh^tse
joekehtse	joe^keh^tse
joevege	joe^ve^ge
joevjeme	joev^je^me
johketje	joh^ke^tje
joksege	jok^se^ge
jollehke	jol^leh^ke
jovjeme	jov^je^me
jovkije	jov^ki^je
juhteme	juh^te^me
juhtije	juh^ti^je
jumpere	jum^pe^re
junkije	jun^ki^je
jupmele	jup^me^le
jyjsege	jyj^se^ge
jyjseme	jyj^se^me
jyssetje	jys^se^tje
jårrese	jår^re^se
jïddeme	jïd^de^me
jïenehke	jïe^neh^ke
jïeneme	jïe^ne^me
jïermege	jïer^me^ge
jïevege	jïe^ve^ge
jïhpege	jïh^pe^ge
jïhpehke	jïh^peh^ke
jïjseme	jïj^se^me
jïrrege	jïr^re^ge
jïrreme	jïr^re^me
jöömmetje	jööm^me^tje
kaanove	kaa^no^ve
kaarretje	kaar^re^tje
kaasuse	kaa^su^se
kapsele	kap^se^le
keebrege	keeb^re^ge
keebrehke	keeb^reh^ke
ketsjupe	kets^ju^pe
klaabpere	klaab^pe^re
klaampere	klaam^pe^re
klaatere	klaa^te^re
klijneme	klij^ne^me
klobpehke	klob^peh^ke
kloemese	kloe^me^se
klohtjege	kloh^tje^ge
klohtjetje	kloh^tje^tje
klomhpehke	klomh^peh^ke
kluhtere	kluh^te^re
klåhkere	klåh^ke^re
klååjpetje	klååj^pe^tje
klååkeme	klåå^ke^me
klïjvere	klïj^ve^re
klïngkere	klïng^ke^re
klöösehke	klöö^seh^ke
kosmose	kos^mo^se
kovlone	kov^lo^ne
kraasetje	kraa^se^tje
kreebpege	kreeb^pe^ge
kroehkenje	kroeh^ke^nje
kruhtere	kruh^te^re
krååvehke	kråå^veh^ke
krååvese	kråå^ve^se
kuahpere	kuah^pe^re
kurdere	kur^de^re
kvestore	kves^to^re
kåahpere	kåah^pe^re
laadtege	laad^te^ge
laajpetje	laaj^pe^tje
laatege	laa^te^ge
laatjove	laa^tjo^ve
laavkeme	laav^ke^me
laavkome	laav^ko^me
laavloje	laav^lo^je
laavlome	laav^lo^me
ladtetje	lad^te^tje
laejhteme	laejh^te^me
laejjere	laej^je^re
laejvere	laej^ve^re
laemehke	lae^meh^ke
lahtese	lah^te^se
leajpetje	leaj^pe^tje
learohke	lea^roh^ke
learrehte	lear^reh^te
leavsetje	leav^se^tje
leejjege	leej^je^ge
leerehte	lee^reh^te
lejjone	lej^jo^ne
lektore	lek^to^re
lesbose	les^bo^se
liebkede	lieb^ke^de
liejmehke	liej^meh^ke
liemkede	liem^ke^de
lierrehte	lier^reh^te
lijhtere	lijh^te^re
lijnese	lij^ne^se
lijtere	lij^te^re
loebpele	loeb^pe^le
loedtehke	loed^teh^ke
loeptjehke	loep^tjeh^ke
loestege	loes^te^ge
lohkeme	loh^ke^me
lohkije	loh^ki^je
lovrene	lov^re^ne
lovrenje	lov^re^nje
lovtene	lov^te^ne
luabtetje	luab^te^tje
luehkeme	lueh^ke^me
luejhteme	luejh^te^me
luemege	lue^me^ge
lujsege	luj^se^ge
luvsege	luv^se^ge
lyjnehke	lyj^neh^ke
lyvtere	lyv^te^re
låasije	låa^si^je
låavtege	låav^te^ge
låesuve	låe^su^ve
læjjone	læj^jo^ne
læjnetje	læj^ne^tje
lïegkese	lïeg^ke^se
lïereme	lïe^re^me
lïestege	lïes^te^ge
lïhtsege	lïh^tse^ge
lïhtsehke	lïh^tseh^ke
lïjhtere	lïjh^te^re
lïnghkese	lïngh^ke^se
lööneme	löö^ne^me
maadtege	maad^te^ge
maadtere	maad^te^re
maaketje	maa^ke^tje
maaksove	maak^so^ve
maalese	maa^le^se
maastere	maas^te^re
maavnese	maav^ne^se
maksove	mak^so^ve
mammone	mam^mo^ne
martere	mar^te^re
massere	mas^se^re
meadtehke	mead^teh^ke
mearohke	mea^roh^ke
measege	mea^se^ge
measehke	mea^seh^ke
measetje	mea^se^tje
meedije	mee^di^je
meessege	mees^se^ge
meetere	mee^te^re
mekseme	mek^se^me
mierehke	mie^reh^ke
miesehke	mie^seh^ke
mietene	mie^te^ne
mijnuse	mij^nu^se
minngehke	min^ngeh^ke
moehrele	moeh^re^le
moehtege	moeh^te^ge
moenehke	moe^neh^ke
moenehtse	moe^neh^tse
moetele	moe^te^le
mohtege	moh^te^ge
mojhtese	mojh^te^se
moltjere	mol^tje^re
morhteske	morh^tes^ke
morrele	mor^re^le
moskese	mos^ke^se
moskuse	mos^ku^se
moskuve	mos^ku^ve
mosnege	mos^ne^ge
mossere	mos^se^re
motovre	mo^tov^re
movrege	mov^re^ge
muadtehke	muad^teh^ke
muadtese	muad^te^se
muarhketje	muarh^ke^tje
muarjetje	muar^je^tje
mudtere	mud^te^re
muekere	mue^ke^re
mujhtehtje	mujh^teh^tje
mujhteme	mujh^te^me
murhkije	murh^ki^je
murhteske	murh^tes^ke
museeume	mu^seeu^me
muvmije	muv^mi^je
myssetje	mys^se^tje
mådtsohke	måd^tsoh^ke
måjvetje	måj^ve^tje
måssere	mås^se^re
måvhkese	måvh^ke^se
mååjsetje	mååj^se^tje
mååktege	mååk^te^ge
mååretje	måå^re^tje
mænngele	mæn^nge^le
mænngole	mæn^ngo^le
mïelehke	mïe^leh^ke
mïelkese	mïel^ke^se
mïerehke	mïe^reh^ke
mïestere	mïes^te^re
mïetege	mïe^te^ge
mïetele	mïe^te^le
mïevhkese	mïevh^ke^se
mönstere	mön^ste^re
mööbele	möö^be^le
möölege	möö^le^ge
naalehke	naa^leh^ke
naapere	naa^pe^re
naarene	naa^re^ne
nabletje	nab^le^tje
nahkere	nah^ke^re
najpetje	naj^pe^tje
navsere	nav^se^re
nazije	na^zi^je
nealketje	neal^ke^tje
neapede	nea^pe^de
neapere	nea^pe^re
neastetje	neas^te^tje
nebnije	neb^ni^je
neehlege	neeh^le^ge
nejlihke	nej^lih^ke
nentjeme	nen^tje^me
nestore	nes^to^re
niehkere	nieh^ke^re
nieskeme	nies^ke^me
nietsege	nie^tse^ge
nihtjele	nih^tje^le
njaalkese	njaal^ke^se
njaalketje	njaal^ke^tje
njaareme	njaa^re^me
njahpede	njah^pe^de
njalhtehke	njalh^teh^ke
njalhtjehke	njalht^jeh^ke
njammehke	njam^meh^ke
njeamehke	njea^meh^ke
njeeruve	njee^ru^ve
njimkese	njim^ke^se
njoektjeme	njoek^tje^me
njoevege	njoe^ve^ge
njoeveme	njoe^ve^me
njohtele	njoh^te^le
njonnjele	njon^nje^le
njuanetje	njua^ne^tje
njuenehke	njue^neh^ke
njyhtele	njyh^te^le
njyssetje	njys^se^tje
njåemele	njåe^me^le
njålhtjehke	njålht^jeh^ke
njålhtjohke	njålht^joh^ke
njïdtjele	njïd^tje^le
njïetsege	njïe^tse^ge
njïevede	njïe^ve^de
noffele	nof^fe^le
noljehke	no^ljeh^ke
nommere	nom^me^re
novhtehke	novh^teh^ke
novpele	nov^pe^le
novsege	nov^se^ge
novsehke	nov^seh^ke
nuljehke	nu^ljeh^ke
nummere	num^me^re
nyhtele	nyh^te^le
nyjsene	nyj^se^ne
nyöjtetje	nyöj^te^tje
nåajtoje	nåaj^to^je
nåajtome	nåaj^to^me
nåarvetje	nåar^ve^tje
nåhkeme	nåh^ke^me
nåhkere	nåh^ke^re
nåhpehke	nåh^peh^ke
nåhpohke	nåh^poh^ke
nåvsere	nåv^se^re
nåådese	nåå^de^se
nååletje	nåå^le^tje
nåårese	nåå^re^se
næhkere	næh^ke^re
nïddese	nïd^de^se
nïejtetje	nïej^te^tje
nïmmere	nïm^me^re
nïrrese	nïr^re^se
obletje	ob^le^tje
ohkene	oh^ke^ne
ohtseme	oh^tse^me
ohtsije	oh^tsi^je
oksehke	ok^seh^ke
oktober	ok^to^ber
olketje	ol^ke^tje
ollehke	ol^leh^ke
olleme	ol^le^me
ollene	ol^le^ne
ollenje	ol^le^nje
orgije	or^gi^je
ostehke	os^teh^ke
otnege	ot^ne^ge
otnjege	ot^nje^ge
paehpere	paeh^pe^re
paerone	pae^ro^ne
passere	pas^se^re
pastore	pas^to^re
pillere	pil^le^re
plaajhkije	plaajh^ki^je
plaantege	plaan^te^ge
plaaveme	plaa^ve^me
planktone	plank^to^ne
pleentege	pleen^te^ge
pleenume	plee^nu^me
plierehke	plie^reh^ke
plomstere	plom^ste^re
pluavetje	plua^ve^tje
plåamstere	plåam^ste^re
plæjjohke	plæj^joh^ke
plïehtjege	plïeh^tje^ge
plïejhkehke	plïejh^keh^ke
plïerehke	plïe^reh^ke
praadtetje	praad^te^tje
praahkehke	praah^keh^ke
praahkese	praah^ke^se
praarehke	praa^reh^ke
prarrohke	prar^roh^ke
preavetje	prea^ve^tje
preehkehke	preeh^keh^ke
preemije	pree^mi^je
preesense	pree^sen^se
proffele	prof^fe^le
provdese	prov^de^se
provkome	prov^ko^me
provnege	prov^ne^ge
provrese	prov^re^se
pruvrese	pruv^re^se
prïhtjege	prïh^tje^ge
prïhtjhvoessetje	prïhtjhvoes^se^tje
purpure	pur^pu^re
påassene	påas^se^ne
pååjketje	pååj^ke^tje
pæhpere	pæh^pe^re
raajese	raa^je^se
raajhpese	raajh^pe^se
raajrese	raaj^re^se
raajtere	raaj^te^re
raajtese	raaj^te^se
raampele	raam^pe^le
raastege	raas^te^ge
raavmere	raav^me^re
raavnije	raav^ni^je
radtjehke	rad^tjeh^ke
raedtehke	raed^teh^ke
raerhkije	raerh^ki^je
raerije	rae^ri^je
ragkenje	rag^ke^nje
reaktore	reak^to^re
reavere	rea^ve^re
reektehtse	reek^teh^tse
reepesje	ree^pe^sje
reereme	ree^re^me
reeseme	ree^se^me
rehkere	reh^ke^re
rektore	rek^to^re
riehpene	rieh^pe^ne
riektege	riek^te^ge
rijrenje	rij^re^nje
rijrije	rij^ri^je
ringsije	ring^si^je
ritneme	rit^ne^me
roejese	roe^je^se
roepsede	roep^se^de
rohtjehke	roh^tjeh^ke
rosseme	ros^se^me
rotjkede	rotj^ke^de
rovhtere	rovh^te^re
rovhtetje	rovh^te^tje
rovkije	rov^ki^je
rovmere	rov^me^re
rovtore	rov^to^re
ruavere	rua^ve^re
ruerhkeme	ruerh^ke^me
ruvveske	ruv^ves^ke
ryöknege	ryök^ne^ge
ryökneme	ryök^ne^me
råahtove	råah^to^ve
råantjehke	råan^tjeh^ke
råaskome	råas^ko^me
