abandoneeredh	a^ban^do^nee^redh
dekomponeeredh	de^kom^po^nee^redh
dekomprimeeredh	de^komp^ri^mee^redh
dekrediteeredh	de^kre^di^tee^redh
delikateeredh	de^li^ka^tee^redh
demisjoneeredh	de^mi^sjo^nee^redh
denatureeredh	de^na^tu^ree^redh
deoksideeredh	de^ok^si^dee^redh
deoksideeredh	de^ok^si^dee^redh
derelinkveeredh	de^re^lin^kvee^redh
desavueeredh	de^sa^vu^ee^redh
desavueeredh	de^sa^vu^ee^redh
desinfiseeredh	de^sin^fi^see^redh
desinfiseeredh	de^sin^fi^see^redh
desintegreeredh	de^sin^teg^ree^redh
desoksideeredh	de^sok^si^dee^redh
desoksideeredh	de^sok^si^dee^redh
desorienteeredh	de^so^rien^tee^redh
determineeredh	de^ter^mi^nee^redh
detroniseeredh	det^ro^ni^see^redh
devalueeredh	de^va^lu^ee^redh
devalueeredh	de^va^lu^ee^redh
dialyseeredh	di^a^ly^see^redh
dimensjoneeredh	di^men^sjo^nee^redh
dimisjoneeredh	di^mi^sjo^nee^redh
diskrediteeredh	dis^kre^di^tee^redh
diskretiseeredh	dis^kre^ti^see^redh
diskrimineeredh	dis^kri^mi^nee^redh
dissimileeredh	dis^si^mi^lee^redh
dissosijeeredh	dis^so^si^jee^redh
dissosijeeredh	dis^so^si^jee^redh
dissosijeeredh	dis^so^si^jee^redh
dissosijeeredh	dis^so^si^jee^redh
distribueeredh	dist^ri^bu^ee^redh
distribueeredh	dist^ri^bu^ee^redh
dokumenteeredh	do^ku^men^tee^redh
dramatiseeredh	dra^ma^ti^see^redh
effektiveeredh	ef^fek^ti^vee^redh
effektueeredh	ef^fek^tu^ee^redh
effektueeredh	ef^fek^tu^ee^redh
egaliseeredh	e^ga^li^see^redh
ejakuleeredh	e^ja^ku^lee^redh
eksamineeredh	ek^sa^mi^nee^redh
eksamineeredh	ek^sa^mi^nee^redh
ekspatrijeeredh	ek^spat^ri^jee^redh
ekspatrijeeredh	ek^spat^ri^jee^redh
ekspatrijeeredh	ek^spat^ri^jee^redh
ekspatrijeeredh	ek^spat^ri^jee^redh
ekspediteeredh	ek^spe^di^tee^redh
ekspediteeredh	ek^spe^di^tee^redh
eksplisiteeredh	eksp^li^si^tee^redh
eksplisiteeredh	eksp^li^si^tee^redh
eksplisiteeredh	eksp^li^si^tee^redh
eksplisitteeredh	eksp^li^sit^tee^redh
eksploateeredh	eksp^lo^a^tee^redh
eksploateeredh	eksp^lo^a^tee^redh
eksproprijeeredh	eksp^rop^ri^jee^redh
eksproprijeeredh	eksp^rop^ri^jee^redh
eksproprijeeredh	eksp^rop^ri^jee^redh
eksproprijeeredh	eksp^rop^ri^jee^redh
ekstemporeeredh	ek^stem^po^ree^redh
ekstemporeeredh	ek^stem^po^ree^redh
ekstensiveeredh	ek^sten^si^vee^redh
ekstensiveeredh	ek^sten^si^vee^redh
ekstrapoleeredh	ekst^ra^po^lee^redh
ekstrapoleeredh	ekst^ra^po^lee^redh
ekvivaleeredh	e^kvi^va^lee^redh
elektriseeredh	e^lekt^ri^see^redh
elimineeredh	e^li^mi^nee^redh
emansipeeredh	e^man^si^pee^redh
emansipeeredh	e^man^si^pee^redh
enkultureeredh	en^kul^tu^ree^redh
erotiseeredh	e^ro^ti^see^redh
eskamoteeredh	es^ka^mo^tee^redh
estetiseeredh	es^te^ti^see^redh
etiketteeredh	e^ti^ket^tee^redh
evakueeredh	e^va^ku^ee^redh
evakueeredh	e^va^ku^ee^redh
evalueeredh	e^va^lu^ee^redh
evalueeredh	e^va^lu^ee^redh
evaporeeredh	e^va^po^ree^redh
faksimileeredh	fak^si^mi^lee^redh
faktoriseeredh	fak^to^ri^see^redh
falsifijeeredh	fal^si^fi^jee^redh
falsifijeeredh	fal^si^fi^jee^redh
falsifiseeredh	fal^si^fi^see^redh
favoriseeredh	fa^vo^ri^see^redh
feminiseeredh	fe^mi^ni^see^redh
filmatiseeredh	fil^ma^ti^see^redh
filosofeeredh	fi^lo^so^fee^redh
finansijeeredh	fi^nan^si^jee^redh
finansijeeredh	fi^nan^si^jee^redh
fisioneeredh	fi^si^o^nee^redh
floragrafeeredh	flo^rag^ra^fee^redh
flouriseeredh	flo^u^ri^see^redh
fluoreseeredh	flu^o^re^see^redh
fluoreseeredh	flu^o^re^see^redh
fluorideeredh	flu^o^ri^dee^redh
fluoriseeredh	flu^o^ri^see^redh
formaliseeredh	for^ma^li^see^redh
fosforeseeredh	fos^fo^re^see^redh
fosforeseeredh	fos^fo^re^see^redh
fotografeeredh	fo^tog^ra^fee^redh
fraktioneeredh	frak^ti^o^nee^redh
fraterniseeredh	fra^ter^ni^see^redh
fundamenteeredh	fun^da^men^tee^redh
fusioneeredh	fu^si^o^nee^redh
galvaniseeredh	gal^va^ni^see^redh
garnisoneeredh	gar^ni^so^nee^redh
germaniseeredh	ger^ma^ni^see^redh
gestikuleeredh	ges^ti^ku^lee^redh
giljotineeredh	gi^ljo^ti^nee^redh
glamoriseeredh	gla^mo^ri^see^redh
globaliseeredh	glo^ba^li^see^redh
glorifijeeredh	glo^ri^fi^jee^redh
glorifijeeredh	glo^ri^fi^jee^redh
glorifiseeredh	glo^ri^fi^see^redh
gymnastiseeredh	gym^nas^ti^see^redh
habiliteeredh	ha^bi^li^tee^redh
hallusineeredh	hal^lu^si^nee^redh
harmoniseeredh	har^mo^ni^see^redh
hektografeeredh	hek^tog^ra^fee^redh
hermetiseeredh	her^me^ti^see^redh
heroiseeredh	he^ro^i^see^redh
humaniseeredh	hu^ma^ni^see^redh
hypnotiseeredh	hyp^no^ti^see^redh
idealiseeredh	i^dea^li^see^redh
idylliseeredh	i^dyl^li^see^redh
illumineeredh	il^lu^mi^nee^redh
imagineeredh	i^ma^gi^nee^redh
immuniseeredh	im^mu^ni^see^redh
implementeeredh	imp^le^men^tee^redh
implisitteeredh	imp^li^sit^tee^redh
improviseeredh	imp^ro^vi^see^redh
inaktiveeredh	i^nak^ti^vee^redh
indoktrineeredh	in^dokt^ri^nee^redh
initijeeredh	i^ni^ti^jee^redh
initijeeredh	i^ni^ti^jee^redh
injurijeeredh	i^nju^ri^jee^redh
injurijeeredh	i^nju^ri^jee^redh
inkorporeeredh	in^kor^po^ree^redh
inokuleeredh	i^no^ku^lee^redh
insinueeredh	in^si^nu^ee^redh
insinueeredh	in^si^nu^ee^redh
institueeredh	in^sti^tu^ee^redh
institueeredh	in^sti^tu^ee^redh
instrumenteeredh	inst^ru^men^tee^redh
intensiveeredh	in^ten^si^vee^redh
interakteeredh	in^te^rak^tee^redh
interesseeredh	in^te^res^see^redh
interfereeredh	in^ter^fe^ree^redh
interpelleeredh	in^ter^pel^lee^redh
interpoleeredh	in^ter^po^lee^redh
interpreteeredh	in^terp^re^tee^redh
intimideeredh	in^ti^mi^dee^redh
introduseeredh	int^ro^du^see^redh
introduseeredh	int^ro^du^see^redh
ironiseeredh	i^ro^ni^see^redh
islamiseeredh	is^la^mi^see^redh
jardinijeeredh	jar^di^ni^jee^redh
jardinijeeredh	jar^di^ni^jee^redh
jassifiseeredh	jas^si^fi^see^redh
jazzifijeeredh	jaz^zi^fi^jee^redh
jazzifijeeredh	jaz^zi^fi^jee^redh
jazzifiseeredh	jaz^zi^fi^see^redh
kalligrafeeredh	kal^lig^ra^fee^redh
kanaliseeredh	ka^na^li^see^redh
kanoniseeredh	ka^no^ni^see^redh
kapituleeredh	ka^pi^tu^lee^redh
katalyseeredh	ka^ta^ly^see^redh
katekiseeredh	ka^te^ki^see^redh
katoliseeredh	ka^to^li^see^redh
kausjoneeredh	ka^u^sjo^nee^redh
klassifiseeredh	klas^si^fi^see^redh
klassifiseeredh	klas^si^fi^see^redh
klausuleeredh	kla^u^su^lee^redh
klimatiseeredh	kli^ma^ti^see^redh
koaguleeredh	ko^a^gu^lee^redh
kodifijeeredh	ko^di^fi^jee^redh
kodifijeeredh	ko^di^fi^jee^redh
kodifiseeredh	ko^di^fi^see^redh
koiniseeredh	ko^i^ni^see^redh
kollaboreeredh	kol^la^bo^ree^redh
kollasjoneeredh	kol^la^sjo^nee^redh
koloniseeredh	ko^lo^ni^see^redh
kommuniseeredh	kom^mu^ni^see^redh
kommuniseeredh	kom^mu^ni^see^redh
komplimenteeredh	komp^li^men^tee^redh
kompromitteeredh	komp^ro^mit^tee^redh
kondisjoneeredh	kon^di^sjo^nee^redh
konkretiseeredh	kon^kre^ti^see^redh
konsipijeeredh	kon^si^pi^jee^redh
konsipijeeredh	kon^si^pi^jee^redh
konsipijeeredh	kon^si^pi^jee^redh
konsipijeeredh	kon^si^pi^jee^redh
konsolideeredh	kon^so^li^dee^redh
konstitueeredh	kon^sti^tu^ee^redh
konstitueeredh	kon^sti^tu^ee^redh
kontamineeredh	kon^ta^mi^nee^redh
kontingenteeredh	kon^ti^ngen^tee^redh
kontinueeredh	kon^ti^nu^ee^redh
kontinueeredh	kon^ti^nu^ee^redh
kontoriseeredh	kon^to^ri^see^redh
kontrasigneeredh	kont^ra^sig^nee^redh
kontribueeredh	kont^ri^bu^ee^redh
kontribueeredh	kont^ri^bu^ee^redh
konvoluteeredh	kon^vo^lu^tee^redh
konvolutteeredh	kon^vo^lut^tee^redh
koopereeredh	ko^o^pe^ree^redh
koordineeredh	ko^or^di^nee^redh
korrespondeeredh	kor^res^pon^dee^redh
kristalliseeredh	kris^tal^li^see^redh
kryptifieeredh	kryp^ti^fi^ee^redh
kryptifiseeredh	kryp^ti^fi^see^redh
krystalliseeredh	krys^tal^li^see^redh
kvalifiseeredh	kva^li^fi^see^redh
kvalifiseeredh	kva^li^fi^see^redh
kvantifijeeredh	kvan^ti^fi^jee^redh
kvantifijeeredh	kvan^ti^fi^jee^redh
kvantifiseeredh	kvan^ti^fi^see^redh
latiniseeredh	la^ti^ni^see^redh
legaliseeredh	le^ga^li^see^redh
legitimeeredh	le^gi^ti^mee^redh
lemmatiseeredh	lem^ma^ti^see^redh
lignifiseeredh	lig^ni^fi^see^redh
lineariseeredh	li^nea^ri^see^redh
lisensijeeredh	li^sen^si^jee^redh
lisensijeeredh	li^sen^si^jee^redh
lisensijeeredh	li^sen^si^jee^redh
litografeeredh	li^tog^ra^fee^redh
lokaliseeredh	lo^ka^li^see^redh
magasineeredh	ma^ga^si^nee^redh
magnetiseeredh	mag^ne^ti^see^redh
manifesteeredh	ma^ni^fes^tee^redh
manikyreeredh	ma^ni^ky^ree^redh
manipuleeredh	ma^ni^pu^lee^redh
manuduseeredh	ma^nu^du^see^redh
matrikuleeredh	mat^ri^ku^lee^redh
medisineeredh	me^di^si^nee^redh
mekaniseeredh	me^ka^ni^see^redh
metalliseeredh	me^tal^li^see^redh
mikroskopeeredh	mi^kros^ko^pee^redh
missioneeredh	mis^si^o^nee^redh
mobiliseeredh	mo^bi^li^see^redh
modemiseeredh	mo^de^mi^see^redh
moderniseeredh	mo^der^ni^see^redh
modifijeeredh	mo^di^fi^jee^redh
modifijeeredh	mo^di^fi^jee^redh
modifiseeredh	mo^di^fi^see^redh
monoftongeeredh	mo^nof^to^ngee^redh
moraliseeredh	mo^ra^li^see^redh
mortifieeredh	mor^ti^fi^ee^redh
mortifiseeredh	mor^ti^fi^see^redh
motioneeredh	mo^ti^o^nee^redh
motoriseeredh	mo^to^ri^see^redh
multipliseeredh	mul^tip^li^see^redh
multipliseeredh	mul^tip^li^see^redh
mumifijeeredh	mu^mi^fi^jee^redh
mumifijeeredh	mu^mi^fi^jee^redh
mumifiseeredh	mu^mi^fi^see^redh
mystifijeeredh	mys^ti^fi^jee^redh
mystifijeeredh	mys^ti^fi^jee^redh
mystifiseeredh	mys^ti^fi^see^redh
narkotiseeredh	nar^ko^ti^see^redh
nazifijeeredh	na^zi^fi^jee^redh
nazifijeeredh	na^zi^fi^jee^redh
nazifiseeredh	na^zi^fi^see^redh
nitrifiseeredh	nit^ri^fi^see^redh
nomadiseeredh	no^ma^di^see^redh
normaliseeredh	nor^ma^li^see^redh
notifiseeredh	no^ti^fi^see^redh
objektiveeredh	ob^jek^ti^vee^redh
opaleseeredh	o^pa^le^see^redh
opaleseeredh	o^pa^le^see^redh
opaliseeredh	o^pa^li^see^redh
organiseeredh	or^ga^ni^see^redh
organiseeredh	or^ga^ni^see^redh
ornamenteeredh	or^na^men^tee^redh
panegyreeredh	pa^ne^gy^ree^redh
parafineeredh	pa^ra^fi^nee^redh
parafraseeredh	pa^raf^ra^see^redh
paragrafeeredh	pa^rag^ra^fee^redh
paralyseeredh	pa^ra^ly^see^redh
parasitteeredh	pa^ra^sit^tee^redh
parlamenteeredh	par^la^men^tee^redh
parodijeeredh	pa^ro^di^jee^redh
parodijeeredh	pa^ro^di^jee^redh
partisipeeredh	par^ti^si^pee^redh
partisipeeredh	par^ti^si^pee^redh
pasifiseeredh	pa^si^fi^see^redh
pasifiseeredh	pa^si^fi^see^redh
passiviseeredh	pas^si^vi^see^redh
pastöriseeredh	pas^tö^ri^see^redh
patroniseeredh	pat^ro^ni^see^redh
pensioneeredh	pen^si^o^nee^redh
perfeksjoneeredh	per^fek^sjo^nee^redh
pergamenteeredh	per^ga^men^tee^redh
polariseeredh	po^la^ri^see^redh
polemiseeredh	po^le^mi^see^redh
politiseeredh	po^li^ti^see^redh
pomadiseeredh	po^ma^di^see^redh
portioneeredh	por^ti^o^nee^redh
posisjoneeredh	po^si^sjo^nee^redh
predestineeredh	pre^des^ti^nee^redh
predisponeeredh	pre^dis^po^nee^redh
prefabrikkeeredh	pre^fab^rik^kee^redh
prenumereeredh	pre^nu^me^ree^redh
presupponeeredh	pre^sup^po^nee^redh
prioriteeredh	pri^o^ri^tee^redh
prioriteeredh	pri^o^ri^tee^redh
privatiseeredh	pri^va^ti^see^redh
privilegeeredh	pri^vi^le^gee^redh
priviligeeredh	pri^vi^li^gee^redh
prognostiseeredh	prog^nos^ti^see^redh
propagandeeredh	pro^pa^gan^dee^redh
proporsjoneeredh	pro^por^sjo^nee^redh
prostitueeredh	pros^ti^tu^ee^redh
prostitueeredh	pros^ti^tu^ee^redh
protokolleeredh	pro^to^kol^lee^redh
provianteeredh	pro^vi^an^tee^redh
pulveriseeredh	pul^ve^ri^see^redh
ratifiseeredh	ra^ti^fi^see^redh
ratifiseeredh	ra^ti^fi^see^redh
rationeeredh	ra^ti^o^nee^redh
redupliseeredh	re^dup^li^see^redh
regenereeredh	re^ge^ne^ree^redh
reglementeeredh	reg^le^men^tee^redh
regummijeeredh	re^gum^mi^jee^redh
regummijeeredh	re^gum^mi^jee^redh
reinvesteeredh	re^in^ves^tee^redh
rekognoseeredh	re^kog^no^see^redh
rekommandeeredh	re^kom^man^dee^redh
rekommendeeredh	re^kom^men^dee^redh
rekonstrueeredh	re^konst^ru^ee^redh
rekonstrueeredh	re^konst^ru^ee^redh
rektifijeeredh	rek^ti^fi^jee^redh
rektifijeeredh	rek^ti^fi^jee^redh
rektifiseeredh	rek^ti^fi^see^redh
rematiseeredh	re^ma^ti^see^redh
reminiseeredh	re^mi^ni^see^redh
reminiseeredh	re^mi^ni^see^redh
repatrijeeredh	re^pat^ri^jee^redh
repatrijeeredh	re^pat^ri^jee^redh
representeeredh	rep^re^sen^tee^redh
reproduseeredh	rep^ro^du^see^redh
reproduseeredh	rep^ro^du^see^redh
residiveeredh	re^si^di^vee^redh
resirkuleeredh	re^sir^ku^lee^redh
resirkuleeredh	re^sir^ku^lee^redh
restaureeredh	res^ta^u^ree^redh
restitueeredh	res^ti^tu^ee^redh
restitueeredh	res^ti^tu^ee^redh
revalueeredh	re^va^lu^ee^redh
rikosjetteeredh	ri^ko^sjet^tee^redh
rikosjetteeredh	ri^ko^sjet^tee^redh
ritualiseeredh	ri^tua^li^see^redh
rivaliseeredh	ri^va^li^see^redh
robotiseeredh	ro^bo^ti^see^redh
romaniseeredh	ro^ma^ni^see^redh
romantiseeredh	ro^man^ti^see^redh
russifijeeredh	rus^si^fi^jee^redh
russifijeeredh	rus^si^fi^jee^redh
russifiseeredh	rus^si^fi^see^redh
rustifiseeredh	rus^ti^fi^see^redh
sanforiseeredh	san^fo^ri^see^redh
satiriseeredh	sa^ti^ri^see^redh
satisfieeredh	sa^tis^fi^ee^redh
satisfiseeredh	sa^tis^fi^see^redh
sedimenteeredh	se^di^men^tee^redh
sektioneeredh	sek^ti^o^nee^redh
semaforeeredh	se^ma^fo^ree^redh
sentraliseeredh	sent^ra^li^see^redh
sentraliseeredh	sent^ra^li^see^redh
sentrifugeeredh	sent^ri^fu^gee^redh
sentrifugeeredh	sent^ri^fu^gee^redh
serografeeredh	se^rog^ra^fee^redh
serografeeredh	se^rog^ra^fee^redh
sertifijeeredh	ser^ti^fi^jee^redh
sertifijeeredh	ser^ti^fi^jee^redh
sertifijeeredh	ser^ti^fi^jee^redh
sertifijeeredh	ser^ti^fi^jee^redh
sertifiseeredh	ser^ti^fi^see^redh
sexdebuteeredh	sex^de^bu^tee^redh
signaliseeredh	sig^na^li^see^redh
simplifijeeredh	simp^li^fi^jee^redh
simplifijeeredh	simp^li^fi^jee^redh
simplifiseeredh	simp^li^fi^see^redh
siviliseeredh	si^vi^li^see^redh
siviliseeredh	si^vi^li^see^redh
sjarmantiseeredh	sjar^man^ti^see^redh
sjarmantiseeredh	sjar^man^ti^see^redh
sjematiseeredh	sje^ma^ti^see^redh
sjematiseeredh	sje^ma^ti^see^redh
sjiffonieeredh	sjif^fo^ni^ee^redh
sjiffonieeredh	sjif^fo^ni^ee^redh
skandaliseeredh	skan^da^li^see^redh
skarifiseeredh	ska^ri^fi^see^redh
skjematiseeredh	skje^ma^ti^see^redh
sollisiteeredh	sol^li^si^tee^redh
sollisiteeredh	sol^li^si^tee^redh
spesifijeeredh	spe^si^fi^jee^redh
spesifijeeredh	spe^si^fi^jee^redh
spesifiseeredh	spe^si^fi^see^redh
spiraliseeredh	spi^ra^li^see^redh
stabiliseeredh	sta^bi^li^see^redh
standardiseeredh	stan^dar^di^see^redh
stationeeredh	sta^ti^o^nee^redh
stenografeeredh	ste^nog^ra^fee^redh
steriliseeredh	ste^ri^li^see^redh
stigmatiseeredh	stig^ma^ti^see^redh
stratifijeeredh	stra^ti^fi^jee^redh
stratifijeeredh	stra^ti^fi^jee^redh
stratifiseeredh	stra^ti^fi^see^redh
stratifiseeredh	stra^ti^fi^see^redh
subsidijeeredh	sub^si^di^jee^redh
subsidijeeredh	sub^si^di^jee^redh
substantijeeredh	sub^stan^ti^jee^redh
substantijeeredh	sub^stan^ti^jee^redh
substantiveeredh	sub^stan^ti^vee^redh
substitueeredh	sub^sti^tu^ee^redh
substitueeredh	sub^sti^tu^ee^redh
sylografeeredh	sy^log^ra^fee^redh
sylografeeredh	sy^log^ra^fee^redh
symboliseeredh	sym^bo^li^see^redh
sympatiseeredh	sym^pa^ti^see^redh
synkroniseeredh	syn^kro^ni^see^redh
syntetiseeredh	syn^te^ti^see^redh
teknifijeeredh	tek^ni^fi^jee^redh
teknifijeeredh	tek^ni^fi^jee^redh
teknifiseeredh	tek^ni^fi^see^redh
telefoneeredh	te^le^fo^nee^redh
telegrafeeredh	te^leg^ra^fee^redh
telegrafeeredh	te^leg^ra^fee^redh
telemetreeredh	te^le^met^ree^redh
tematiseeredh	te^ma^ti^see^redh
terroriseeredh	ter^ro^ri^see^redh
testamenteeredh	tes^ta^men^tee^redh
transfigureeredh	tran^sfi^gu^ree^redh
transitiveeredh	tran^si^ti^vee^redh
translittereeredh	tran^slit^te^ree^redh
trianguleeredh	tri^a^ngu^lee^redh
typifijeeredh	ty^pi^fi^jee^redh
typifijeeredh	ty^pi^fi^jee^redh
typifiseeredh	ty^pi^fi^see^redh
tyranniseeredh	ty^ran^ni^see^redh
urbaniseeredh	ur^ba^ni^see^redh
vagabondeeredh	va^ga^bon^dee^redh
validiteeredh	va^li^di^tee^redh
vandaliseeredh	van^da^li^see^redh
verbaliseeredh	ver^ba^li^see^redh
verifijeeredh	ve^ri^fi^jee^redh
verifijeeredh	ve^ri^fi^jee^redh
verifiseeredh	ve^ri^fi^see^redh
vernaliseeredh	ver^na^li^see^redh
versifijeeredh	ver^si^fi^jee^redh
versifijeeredh	ver^si^fi^jee^redh
versifiseeredh	ver^si^fi^see^redh
vikarijeeredh	vi^ka^ri^jee^redh
vikarijeeredh	vi^ka^ri^jee^redh
viriliseeredh	vi^ri^li^see^redh
visualiseeredh	vi^sua^li^see^redh
vitaliseeredh	vi^ta^li^see^redh
vivisekeeredh	vi^vi^se^kee^redh
vokaliseeredh	vo^ka^li^see^redh
vulgariseeredh	vul^ga^ri^see^redh
vulgäriseeredh	vul^gä^ri^see^redh
vulkaniseeredh	vul^ka^ni^see^redh
